,lineItem/UsageAccountId,lineItem/ResourceId,bill/BillingPeriodStartDate,lineItem/UsageAmount_ComputeHours,lineItem/UsageAmount_StorageGB,lineItem/UsageAmount_APIRequests,lineItem/UnblendedCost,product/ProductName,lineItem/LineItemDescription
44,Production-Main,r53-0c16894,2026-06,0.0,0.0,18622184.4,27.947999999999997,Route 53,Health checks
45,Edge-Network,i-06ce887,2026-06,895.68,0.0,0.0,3105.096,EC2,r5.2xlarge database server
46,Production-Main,i-0d80610,2026-06,542.88,0.0,0.0,1574.7479999999998,EC2,c5.2xlarge HPC node
47,ML-Training,i-0b25477,2026-06,670.68,0.0,0.0,2325.408,EC2,r5.2xlarge database server
48,Partner-Integration,rds-03c8753,2026-06,510.0,141.6,0.0,602.016,RDS,db.t3.medium MySQL staging
49,Marketing-Platform,r53-01dd837,2026-06,0.0,0.0,69666780.0,104.496,Route 53,DNS hosting
50,Marketing-Platform,i-01e7981,2026-06,699.24,0.0,0.0,2027.7599999999998,EC2,c5.2xlarge HPC node
51,QA-Testing,ec-1136274,2026-06,994.92,0.0,0.0,716.34,ElastiCache,Redis production cluster
52,Security-Ops,ses-09f7782,2026-06,0.0,0.0,2935323.6,3.516,SES,Transactional email
53,Security-Ops,s3-08db379,2026-06,0.0,61.44,30715324.799999997,199.644,S3,Static website hosting
54,Partner-Integration,ses-03cb400,2026-06,0.0,0.0,2617856.4,3.144,SES,Transactional email
55,ML-Training,lam-0c34400,2026-06,0.0,0.0,12136202.4,84.94800000000001,Lambda,Notification dispatcher
56,Internal-Tools,elb-08c2704,2026-06,1194.36,0.0,16589282.399999999,241.536,ELB,Classic load balancer
57,Compliance-Audit,ecs-0d1c714,2026-06,585.12,0.0,0.0,1067.916,ECS,Fargate worker cluster
58,Production-Main,i-1108283,2026-06,390.84,0.0,0.0,1133.28,EC2,c5.2xlarge HPC node
59,Compliance-Audit,s3-0c95132,2026-06,0.0,891.9599999999999,1783971.5999999999,78.05999999999999,S3,Artifact storage
60,Edge-Network,ebs-09ad548,2026-06,0.0,888.4799999999999,0.0,111.05999999999999,EBS,gp3 volumes production
61,Production-Main,i-000d373,2026-06,487.67999999999995,0.0,0.0,1414.2479999999998,EC2,c5.2xlarge HPC node
62,Compliance-Audit,s3-0667496,2026-06,0.0,14539.199999999999,2907830.4,508.86,S3,Data lake raw zone
63,Mobile-Backend,ec-032e628,2026-06,739.8,0.0,0.0,532.644,ElastiCache,Redis production cluster
64,Partner-Integration,r53-060c599,2026-06,0.0,0.0,79611998.39999999,119.42399999999999,Route 53,DNS hosting
65,Internal-Tools,s3-0e43727,2026-06,0.0,4537.2,7259434.8,331.212,S3,Media content bucket
66,Security-Ops,ecs-0499787,2026-06,526.68,0.0,0.0,961.308,ECS,Fargate worker cluster
67,Production-Secondary,s3-0075793,2026-06,0.0,81.48,40747636.8,264.864,S3,Static website hosting
68,Security-Ops,sqs-0195828,2026-06,0.0,0.0,48744196.8,24.371999999999996,SQS,Event notification queue
69,Security-Ops,ebs-08c0486,2026-06,0.0,869.7599999999999,0.0,543.648,EBS,io2 volumes database
70,Production-Main,cf-0a4b960,2026-06,0.0,0.0,71676547.2,358.37999999999994,CloudFront,CDN API distribution
71,QA-Testing,elb-03e9138,2026-06,998.28,0.0,69322695.6,432.576,ELB,Network load balancer
72,Marketing-Platform,sm-10db510,2026-06,0.0,0.0,1438626.0,5.748,Secrets Manager,Application secrets
73,Data-Science,ses-0e41871,2026-06,0.0,0.0,2617688.4,3.144,SES,Transactional email
74,Production-Main,rds-0005467,2026-06,834.6,579.6,0.0,2144.412,RDS,db.r5.xlarge PostgreSQL primary
75,QA-Testing,ebs-0cff760,2026-06,0.0,1400.1599999999999,0.0,175.032,EBS,gp3 volumes production
76,Production-Secondary,elb-0fed620,2026-06,690.9599999999999,0.0,47982027.6,299.412,ELB,Network load balancer
77,ML-Training,ebs-0b54889,2026-06,0.0,5513.04,0.0,248.088,EBS,st1 volumes archive
78,Partner-Integration,sm-03d6254,2026-06,0.0,0.0,1571512.8,6.288,Secrets Manager,Application secrets
79,Security-Ops,s3-09e0838,2026-06,0.0,68.28,34157403.6,222.01199999999997,S3,Static website hosting
80,Edge-Network,ebs-0907384,2026-06,0.0,498.23999999999995,0.0,311.436,EBS,io2 volumes database
81,ML-Training,sqs-0365439,2026-06,0.0,0.0,620755.2,0.312,SQS,Dead letter queue
82,Partner-Integration,eks-03c4771,2026-06,520.56,0.0,0.0,1561.548,EKS,Staging K8s cluster
83,Compliance-Audit,ses-0ad0283,2026-06,0.0,0.0,2178920.4,2.616,SES,Transactional email
84,Shared-Services,rds-0c30227,2026-06,582.8399999999999,404.64,0.0,1153.272,RDS,db.r5.large PostgreSQL replica
85,Customer-Portal,ses-0bde451,2026-06,0.0,0.0,822426.0,0.9959999999999999,SES,Marketing email
86,Compliance-Audit,rds-055c490,2026-06,1327.8,922.0799999999999,0.0,2627.88,RDS,db.r5.large PostgreSQL replica
87,Data-Science,kin-0141333,2026-06,877.92,0.0,24386121.599999998,356.03999999999996,Kinesis,Firehose delivery
88,Security-Ops,sqs-0acf483,2026-06,0.0,0.0,55039293.6,27.528000000000002,SQS,Event notification queue
89,Marketing-Platform,sm-0c60824,2026-06,0.0,0.0,1181343.5999999999,4.716,Secrets Manager,Application secrets
90,Edge-Network,eks-0c0a109,2026-06,729.72,0.0,0.0,2189.052,EKS,Production K8s cluster
91,ML-Training,i-0b05946,2026-06,683.52,0.0,0.0,2369.808,EC2,r5.2xlarge database server
92,Production-Main,cf-05be618,2026-06,0.0,0.0,63987614.4,319.932,CloudFront,CDN API distribution
93,Production-Secondary,ecs-0073512,2026-06,567.8399999999999,0.0,0.0,1036.356,ECS,Fargate API cluster
94,Compliance-Audit,elb-0d8f759,2026-06,460.56,0.0,31981022.4,199.56,ELB,Network load balancer
95,Security-Ops,ecs-1053185,2026-06,575.64,0.0,0.0,1050.6119999999999,ECS,Fargate worker cluster
96,Internal-Tools,rds-02c5855,2026-06,844.0799999999999,586.1999999999999,0.0,2168.736,RDS,db.r5.xlarge PostgreSQL primary
97,Marketing-Platform,r53-0b06291,2026-06,0.0,0.0,65093461.199999996,97.63199999999999,Route 53,DNS hosting
98,QA-Testing,lam-1169721,2026-06,0.0,0.0,100724310.0,705.06,Lambda,Auth token validator
99,Compliance-Audit,elb-0385602,2026-06,937.1999999999999,0.0,39051498.0,284.292,ELB,Application load balancer
100,Finance-Systems,s3-0570229,2026-06,0.0,2922.8399999999997,1461423.5999999999,109.608,S3,Analytics export bucket
101,QA-Testing,lam-0622244,2026-06,0.0,0.0,39356929.199999996,273.52799999999996,Lambda,API gateway handler
102,QA-Testing,lam-07f0573,2026-06,0.0,0.0,5888892.0,41.508,Lambda,Image resizer
103,Marketing-Platform,sm-01d7826,2026-06,0.0,0.0,1111034.4,4.44,Secrets Manager,Application secrets
104,Edge-Network,ec-0e4b931,2026-06,964.92,0.0,0.0,694.7159999999999,ElastiCache,Redis production cluster
105,Marketing-Platform,rds-0d51613,2026-06,576.8399999999999,160.32,0.0,681.0,RDS,db.t3.medium MySQL staging
106,ML-Training,kin-0a76630,2026-06,867.24,0.0,36136486.8,527.592,Kinesis,Data stream ingestion
107,Security-Ops,eks-0191572,2026-06,600.12,0.0,0.0,1800.288,EKS,Staging K8s cluster
108,Shared-Services,vpn-0199240,2026-06,1083.48,0.0,0.0,274.62,VPN Gateway,Client VPN endpoint
109,Finance-Systems,s3-0555363,2026-06,0.0,80.75999999999999,40394728.8,262.572,S3,Static website hosting
110,Compliance-Audit,s3-0f76493,2026-06,0.0,982.68,1965462.0,85.99199999999999,S3,Artifact storage
111,Internal-Tools,lam-100a745,2026-06,0.0,0.0,1345062.0,10.092,Lambda,Cron job runner
112,Marketing-Platform,ddb-0bef403,2026-06,712.44,9.839999999999998,4947406.8,86.58,DynamoDB,Config store table
113,Security-Ops,ebs-0a88692,2026-06,0.0,5194.679999999999,0.0,233.76,EBS,st1 volumes archive
114,Marketing-Platform,vpn-04ea593,2026-06,980.4,0.0,0.0,248.50799999999998,VPN Gateway,Client VPN endpoint
115,Production-Main,s3-057d934,2026-06,0.0,10718.159999999998,669883.2,267.948,S3,Log archive bucket
116,Compliance-Audit,rs-10fb531,2026-06,0.0,0.0,5890381.2,294.516,Redshift,Spectrum queries
117,Internal-Tools,cf-0a39494,2026-06,0.0,0.0,172920050.4,864.588,CloudFront,CDN media distribution
118,Compliance-Audit,ecs-06db379,2026-06,579.8399999999999,0.0,0.0,1058.244,ECS,Fargate worker cluster
119,Internal-Tools,ebs-02a9257,2026-06,0.0,526.0799999999999,0.0,328.82399999999996,EBS,io2 volumes database
120,Compliance-Audit,vpn-0a64605,2026-06,911.7599999999999,0.0,0.0,231.11999999999998,VPN Gateway,Client VPN endpoint
121,ML-Training,rs-0788768,2026-06,0.0,0.0,5254228.8,262.716,Redshift,Spectrum queries
122,Finance-Systems,elb-0e1e935,2026-06,970.44,0.0,40432724.4,294.36,ELB,Application load balancer
123,Customer-Portal,elb-0287653,2026-06,840.12,0.0,11668915.2,169.89600000000002,ELB,Classic load balancer
124,ML-Training,i-0bdb603,2026-06,946.8,0.0,0.0,3282.204,EC2,r5.2xlarge database server
125,QA-Testing,r53-085b883,2026-06,0.0,0.0,11494861.2,17.244,Route 53,Health checks
126,Customer-Portal,i-0ae1467,2026-06,801.3599999999999,0.0,0.0,2777.8199999999997,EC2,r5.2xlarge database server
127,Production-Secondary,i-007b774,2026-06,1049.8799999999999,0.0,0.0,909.924,EC2,m5.large monitoring server
128,Production-Secondary,ec-0bb0589,2026-06,1107.72,0.0,0.0,398.80799999999994,ElastiCache,Redis staging cluster
129,Marketing-Platform,rs-0f0b689,2026-06,0.0,0.0,8903557.2,445.176,Redshift,Spectrum queries
130,Production-Main,lam-000a777,2026-06,0.0,0.0,7187409.6,50.315999999999995,Lambda,Notification dispatcher
131,QA-Testing,ses-0411794,2026-06,0.0,0.0,2810412.0,3.372,SES,Transactional email
132,Compliance-Audit,sns-0987286,2026-06,0.0,0.0,18962638.8,9.48,SNS,Event fanout topic
133,Customer-Portal,vpn-09b8118,2026-06,1287.48,0.0,0.0,326.34,VPN Gateway,Client VPN endpoint
134,Internal-Tools,nat-0ba5290,2026-06,623.4,0.0,0.0,142.224,NAT Gateway,Dev VPC NAT
135,Internal-Tools,ec-0a9a592,2026-06,639.24,0.0,0.0,460.26,ElastiCache,Redis production cluster
136,Partner-Integration,elb-0b31940,2026-06,523.1999999999999,0.0,21799046.4,158.7,ELB,Application load balancer
137,Marketing-Platform,ddb-07e5376,2026-06,763.56,10.56,5302741.2,92.79599999999999,DynamoDB,Config store table
138,Customer-Portal,i-06d9393,2026-06,713.0400000000001,0.0,0.0,1029.984,EC2,c5.xlarge compute worker
139,Security-Ops,r53-018f903,2026-06,0.0,0.0,82555058.39999999,123.82799999999999,Route 53,DNS hosting
140,Compliance-Audit,rs-0bf0566,2026-06,704.64,1957.08,0.0,3571.704,Redshift,Data warehouse cluster
141,Production-Main,s3-062a775,2026-06,0.0,12758.279999999999,797386.7999999999,318.94800000000004,S3,Log archive bucket
142,Production-Main,i-0724237,2026-06,503.76,0.0,0.0,1460.7959999999998,EC2,c5.2xlarge HPC node
143,Marketing-Platform,i-06c6949,2026-06,1082.52,0.0,0.0,79.02,EC2,t3.micro bastion host
144,Finance-Systems,s3-0240452,2026-06,0.0,8780.4,87804.0,201.94799999999998,S3,Backup storage bucket
145,Internal-Tools,rds-02c4542,2026-06,496.0799999999999,137.76,0.0,585.648,RDS,db.t3.medium MySQL staging
146,Compliance-Audit,kin-0386537,2026-06,823.0799999999999,0.0,34292888.4,500.676,Kinesis,Data stream ingestion
147,Edge-Network,s3-097d920,2026-06,0.0,1052.64,2105457.6,92.1,S3,Artifact storage
148,Compliance-Audit,i-0a57109,2026-06,776.0400000000001,0.0,0.0,672.564,EC2,m5.large monitoring server
149,Security-Ops,ebs-0186597,2026-06,0.0,818.0400000000001,0.0,511.26,EBS,io2 volumes database
150,Data-Science,i-0f5f350,2026-06,810.84,0.0,0.0,1405.3319999999999,EC2,r5.xlarge cache server
151,Compliance-Audit,s3-1109492,2026-06,0.0,1083.72,2167698.0,94.836,S3,Artifact storage
152,Production-Main,ecs-001f111,2026-06,375.12,0.0,0.0,684.6239999999999,ECS,Fargate batch cluster
153,Production-Secondary,elb-106c801,2026-06,759.72,0.0,31652803.2,230.424,ELB,Application load balancer
154,Finance-Systems,elb-10f0785,2026-06,803.7599999999999,0.0,33492355.2,243.82799999999997,ELB,Application load balancer
155,Compliance-Audit,rds-0425609,2026-06,1123.2,780.0,0.0,2223.0119999999997,RDS,db.r5.large PostgreSQL replica
156,ML-Training,ebs-0ad9186,2026-06,0.0,4588.68,0.0,206.496,EBS,st1 volumes archive
157,Security-Ops,s3-0180786,2026-06,0.0,15230.759999999998,152306.4,350.30400000000003,S3,Backup storage bucket
158,Shared-Services,r53-0b2b508,2026-06,0.0,0.0,10348838.4,15.527999999999999,Route 53,Health checks
159,Internal-Tools,eks-03f1737,2026-06,591.12,0.0,0.0,1773.408,EKS,Staging K8s cluster
160,Marketing-Platform,r53-0c76143,2026-06,0.0,0.0,80545885.2,120.816,Route 53,DNS hosting
161,Edge-Network,s3-0c0b689,2026-06,0.0,79.8,39894892.8,259.308,S3,Static website hosting
162,Marketing-Platform,ec-08b3367,2026-06,794.88,0.0,0.0,572.28,ElastiCache,Redis production cluster
163,Internal-Tools,ec-02b5631,2026-06,913.68,0.0,0.0,328.92,ElastiCache,Redis staging cluster
164,Mobile-Backend,sqs-0caf152,2026-06,0.0,0.0,371392.8,0.192,SQS,Dead letter queue
165,Internal-Tools,ec-0a32433,2026-06,792.72,0.0,0.0,285.396,ElastiCache,Redis staging cluster
166,Shared-Services,s3-0fd6134,2026-06,0.0,17327.64,3465536.4,606.468,S3,Data lake raw zone
167,Production-Secondary,sqs-1120122,2026-06,0.0,0.0,33405540.0,16.704,SQS,Event notification queue
168,Customer-Portal,vpn-051d688,2026-06,1250.64,0.0,0.0,317.016,VPN Gateway,Client VPN endpoint
169,Compliance-Audit,s3-04b9679,2026-06,0.0,3198.36,19190241.599999998,799.596,S3,Production asset storage
170,Marketing-Platform,ec-0e10130,2026-06,1027.92,0.0,0.0,740.112,ElastiCache,Redis production cluster
171,Internal-Tools,ebs-0742903,2026-06,0.0,1570.9199999999998,0.0,196.36799999999997,EBS,gp3 volumes production
172,Security-Ops,s3-058b286,2026-06,0.0,7910.279999999999,12656492.4,577.452,S3,Media content bucket
173,Marketing-Platform,ddb-0f52812,2026-06,879.0,61.199999999999996,97670265.6,686.7479999999999,DynamoDB,Session store table
174,Customer-Portal,vpn-044d967,2026-06,1143.24,0.0,0.0,289.788,VPN Gateway,Client VPN endpoint
175,ML-Training,i-036c430,2026-06,808.32,0.0,0.0,2802.2879999999996,EC2,r5.2xlarge database server
176,Internal-Tools,sqs-0758153,2026-06,0.0,0.0,63376257.599999994,31.679999999999996,SQS,Order processing queue
177,Customer-Portal,vpn-080b733,2026-06,1002.3599999999999,0.0,0.0,254.064,VPN Gateway,Client VPN endpoint
178,Marketing-Platform,nat-01df371,2026-06,1071.12,0.0,0.0,488.7,NAT Gateway,Production VPC NAT
179,Edge-Network,i-0607444,2026-06,635.7599999999999,0.0,0.0,2203.716,EC2,m5.2xlarge batch processor
180,Shared-Services,s3-0d6d893,2026-06,0.0,19527.6,3905534.4,683.4719999999999,S3,Data lake raw zone
181,Production-Main,i-068a660,2026-06,450.36,0.0,0.0,1305.936,EC2,c5.2xlarge HPC node
182,Shared-Services,ec-019b105,2026-06,876.12,0.0,0.0,315.39599999999996,ElastiCache,Redis staging cluster
183,Internal-Tools,s3-02bf969,2026-06,0.0,46.8,23416790.4,152.208,S3,Static website hosting
184,Customer-Portal,elb-0285346,2026-06,703.0799999999999,0.0,48822909.6,304.656,ELB,Network load balancer
185,ML-Training,lam-084f704,2026-06,0.0,0.0,10822503.6,75.756,Lambda,Notification dispatcher
186,Edge-Network,s3-0a66300,2026-06,0.0,13889.159999999998,138889.19999999998,319.45199999999994,S3,Backup storage bucket
187,Production-Secondary,r53-0a8a968,2026-06,0.0,0.0,11784283.2,17.676,Route 53,Health checks
188,ML-Training,lam-0373133,2026-06,0.0,0.0,13206036.0,92.44800000000001,Lambda,Notification dispatcher
189,Data-Science,ses-04ff620,2026-06,0.0,0.0,407929.2,0.48,SES,Marketing email
190,Data-Science,rs-0410704,2026-06,763.0799999999999,2119.56,0.0,3868.2,Redshift,Data warehouse cluster
191,Finance-Systems,eks-08fb841,2026-06,1320.84,0.0,0.0,3962.2919999999995,EKS,Production K8s cluster
192,Production-Secondary,i-10c1954,2026-06,1214.8799999999999,0.0,0.0,1053.684,EC2,t3.large application server
193,Compliance-Audit,s3-05e1422,2026-06,0.0,16871.28,3374233.1999999997,590.4839999999999,S3,Data lake raw zone
194,Customer-Portal,i-0913746,2026-06,738.6,0.0,0.0,53.904,EC2,t3.micro bastion host
195,Production-Secondary,elb-0082886,2026-06,974.52,0.0,13534700.4,197.064,ELB,Classic load balancer
196,Customer-Portal,ses-0dde104,2026-06,0.0,0.0,734064.0,0.888,SES,Marketing email
197,Production-Main,i-0c92467,2026-06,774.9599999999999,0.0,0.0,2686.356,EC2,m5.2xlarge batch processor
198,DevOps-Central,r53-00d2330,2026-06,0.0,0.0,9364120.799999999,14.052000000000001,Route 53,Health checks
199,Shared-Services,r53-0558765,2026-06,0.0,0.0,85701477.6,128.544,Route 53,DNS hosting
200,QA-Testing,elb-03e8828,2026-06,679.32,0.0,9434559.6,137.364,ELB,Classic load balancer
201,ML-Training,ebs-0ba3526,2026-06,0.0,5563.079999999999,0.0,250.344,EBS,st1 volumes archive
202,Compliance-Audit,s3-06e9419,2026-06,0.0,3686.88,22121422.8,921.732,S3,Production asset storage
203,Production-Secondary,r53-0f0d232,2026-06,0.0,0.0,11874199.2,17.808,Route 53,Health checks
204,Production-Secondary,ec-0079721,2026-06,1080.0,0.0,0.0,388.81199999999995,ElastiCache,Redis staging cluster
205,Edge-Network,sns-048c776,2026-06,0.0,0.0,14219905.2,7.116,SNS,Alert notifications
206,Production-Main,r53-0470454,2026-06,0.0,0.0,14780365.2,22.176,Route 53,Health checks
207,Edge-Network,vpn-0800570,2026-06,688.1999999999999,0.0,0.0,174.444,VPN Gateway,Client VPN endpoint
208,Compliance-Audit,kin-0bc3292,2026-06,788.64,0.0,32857804.799999997,479.72399999999993,Kinesis,Data stream ingestion
209,Marketing-Platform,ddb-0a45101,2026-06,575.64,40.08,63966594.0,449.76,DynamoDB,Session store table
210,Data-Science,i-0465430,2026-06,719.88,0.0,0.0,623.9159999999999,EC2,m5.large monitoring server
211,Finance-Systems,s3-0241654,2026-06,0.0,7141.56,11426586.0,521.3399999999999,S3,Media content bucket
212,Data-Science,ses-0692725,2026-06,0.0,0.0,2827497.6,3.396,SES,Transactional email
213,QA-Testing,lam-0888169,2026-06,0.0,0.0,5252780.399999999,37.032,Lambda,Image resizer
214,Finance-Systems,elb-1128805,2026-06,1011.5999999999999,0.0,70253920.8,438.38399999999996,ELB,Network load balancer
215,Internal-Tools,ddb-02b0773,2026-06,1069.92,74.28,118873711.2,835.8359999999999,DynamoDB,Session store table
216,ML-Training,rs-1144262,2026-06,0.0,0.0,5329084.8,266.46,Redshift,Spectrum queries
217,Compliance-Audit,rds-0ac6147,2026-06,634.44,440.64,0.0,1630.416,RDS,db.r5.xlarge PostgreSQL primary
218,Marketing-Platform,ec-01d6411,2026-06,918.12,0.0,0.0,661.068,ElastiCache,Redis production cluster
219,Compliance-Audit,rds-05e8100,2026-06,1284.84,357.0,0.0,1159.944,RDS,db.t3.large development DB
220,QA-Testing,lam-093f853,2026-06,0.0,0.0,41818152.0,290.628,Lambda,API gateway handler
221,Finance-Systems,s3-0ad4697,2026-06,0.0,12131.88,758251.2,303.288,S3,Log archive bucket
222,Compliance-Audit,rs-0b4f885,2026-06,0.0,0.0,5851222.8,292.56,Redshift,Spectrum queries
223,Compliance-Audit,ses-0b60255,2026-06,0.0,0.0,2034441.5999999999,2.448,SES,Transactional email
224,ML-Training,rds-0f5e458,2026-06,664.32,738.12,0.0,1550.1,RDS,db.m5.xlarge analytics DB
225,Marketing-Platform,sm-0bf6746,2026-06,0.0,0.0,1331362.8,5.34,Secrets Manager,Application secrets
226,Customer-Portal,elb-078d589,2026-06,879.84,0.0,36658514.4,266.88,ELB,Application load balancer
227,QA-Testing,lam-0ca7303,2026-06,0.0,0.0,5964277.2,42.036,Lambda,Image resizer
228,Edge-Network,vpn-08cb273,2026-06,677.4,0.0,0.0,171.696,VPN Gateway,Client VPN endpoint
229,ML-Training,i-088d971,2026-06,910.32,0.0,0.0,3155.772,EC2,r5.2xlarge database server
230,Customer-Portal,vpn-098e105,2026-06,1331.64,0.0,0.0,337.548,VPN Gateway,Client VPN endpoint
231,Compliance-Audit,elb-0e88274,2026-06,717.6,0.0,49838388.0,310.992,ELB,Network load balancer
232,Data-Science,i-10b4120,2026-06,554.4,0.0,0.0,1921.812,EC2,m5.2xlarge batch processor
233,Shared-Services,s3-019d844,2026-06,0.0,19514.879999999997,3902985.5999999996,683.028,S3,Data lake raw zone
234,Partner-Integration,ddb-1080701,2026-06,1356.48,188.4,282597826.8,2119.488,DynamoDB,Cache table
235,Compliance-Audit,vpn-0dcf521,2026-06,779.52,0.0,0.0,197.59199999999998,VPN Gateway,Client VPN endpoint
236,Partner-Integration,rds-0a86894,2026-06,1223.1599999999999,849.3599999999999,0.0,2420.808,RDS,db.r5.large PostgreSQL replica
237,QA-Testing,elb-06d7691,2026-06,996.0,0.0,41500784.4,302.124,ELB,Application load balancer
238,Production-Secondary,i-007e938,2026-06,807.4799999999999,0.0,0.0,2799.408,EC2,r5.2xlarge database server
239,ML-Training,ebs-0eb6707,2026-06,0.0,838.56,0.0,104.82,EBS,gp3 volumes production
240,Partner-Integration,rs-03c7685,2026-06,957.3599999999999,2659.4399999999996,0.0,4853.556,Redshift,Data warehouse cluster
241,Shared-Services,rds-0f49206,2026-06,738.12,512.52,0.0,1460.676,RDS,db.r5.large PostgreSQL replica
242,Production-Main,kin-001a241,2026-06,823.68,0.0,22881540.0,334.068,Kinesis,Firehose delivery
243,Production-Main,s3-0017758,2026-06,0.0,17584.92,3516991.1999999997,615.468,S3,Data lake raw zone
244,Internal-Tools,ec-0706217,2026-06,656.88,0.0,0.0,472.90799999999996,ElastiCache,Redis production cluster
