Account_Name,Resource_ID,Cloud_Provider,Billing_Period,Compute_Hours,Storage_GB_Used,API_Requests,Total_Charge,Service_Name,Description
IoT-Platform,bq-0d7b721,GCP,2026-04,0.0,1826.6,0,705.97,BigQuery,Data export queries
Analytics-Platform,aks-059f313,AZURE,2026-04,1191.3,0.0,0,1765.82,AKS,Staging K8s cluster
Customer-Portal,clog-0274116,GCP,2026-04,0.0,530.2,0,124.87,Cloud Logging,Application logs
Edge-Network,df-098c180,GCP,2026-04,595.1,0.0,0,1346.28,Dataflow,Streaming pipeline
Data-Science,gcf-0cd0636,GCP,2026-04,0.0,0.0,18812591,274.6,Cloud Functions,Pub/Sub processors
Security-Ops,sm-08a6920,AWS,2026-04,0.0,0.0,1071563,4.28,Secrets Manager,Application secrets
Customer-Portal,blob-0c4e917,AZURE,2026-04,0.0,4514.1,0,430.83,Blob Storage,Security audit logs
Production-Main,eh-0026187,AZURE,2026-04,0.0,626.5,0,147.09,Event Hubs,Capture to storage
Compliance-Audit,sns-0c1d686,AWS,2026-04,0.0,0.0,10831743,5.1,SNS,Alert notifications
IoT-Platform,mem-0d64683,GCP,2026-04,666.6,0.0,0,487.1,Memorystore,Redis production cache
Customer-Portal,appi-0257485,AZURE,2026-04,0.0,0.0,36320548,441.95,Application Insights,APM telemetry
DevOps-Central,vm-0814453,AZURE,2026-04,587.7,0.0,0,168.73,Virtual Machines,B2s development VM
Edge-Network,ecs-031f111,AWS,2026-04,253.0,0.0,0,458.63,ECS,Fargate worker cluster
ML-Training,i-0dad813,AWS,2026-04,564.8,0.0,0,1889.22,EC2,r5.2xlarge database server
Production-Secondary,redis-0801574,AZURE,2026-04,954.6,0.0,0,472.65,Azure Cache for Redis,Standard C2 cache
Marketing-Platform,sm-0a3a425,AWS,2026-04,0.0,0.0,783350,3.1,Secrets Manager,Application secrets
Compliance-Audit,kin-083d194,AWS,2026-04,608.0,0.0,24663485,360.2,Kinesis,Data stream ingestion
Finance-Systems,gcf-1015168,GCP,2026-04,0.0,0.0,7290464,106.74,Cloud Functions,Auth handlers
Partner-Integration,eks-03c5402,AWS,2026-04,667.0,0.0,0,2000.34,EKS,Production K8s cluster
Edge-Network,lam-0e35921,AWS,2026-04,0.0,0.0,17458745,121.45,Lambda,Data transformer
Finance-Systems,ado-0e52241,AZURE,2026-04,479.6,0.0,0,240.2,Azure DevOps,Pipelines hosted
Marketing-Platform,sm-0d30645,AWS,2026-04,0.0,0.0,982253,3.82,Secrets Manager,Application secrets
Marketing-Platform,sm-0e7c136,AWS,2026-04,0.0,0.0,708964,2.76,Secrets Manager,Application secrets
Finance-Systems,sentinel-07b4432,AZURE,2026-04,0.0,0.0,97357096,2444.69,Microsoft Sentinel,SIEM detection
Partner-Integration,elb-0bd4274,AWS,2026-04,565.9,0.0,7673599,106.91,ELB,Classic load balancer
Marketing-Platform,gke-0c87458,GCP,2026-04,1666.2,0.0,0,3193.74,GKE,ML training cluster
Internal-Tools,rs-02b6574,AWS,2026-04,0.0,0.0,4239139,214.57,Redshift,Spectrum queries
Production-Secondary,sentinel-0502751,AZURE,2026-04,0.0,0.0,57660802,1390.05,Microsoft Sentinel,SIEM detection
Data-Science,rs-0146862,AWS,2026-04,648.1,1862.6,0,3208.24,Redshift,Data warehouse cluster
ML-Training,lam-055d746,AWS,2026-04,0.0,0.0,9632717,64.37,Lambda,Notification dispatcher
Customer-Portal,func-0958195,AZURE,2026-04,0.0,0.0,2293985,33.24,Azure Functions,Webhook processor
Finance-Systems,kv-0563504,AZURE,2026-04,0.0,0.0,2658587,7.57,Key Vault,Secrets management
Finance-Systems,gcf-0517299,GCP,2026-04,0.0,0.0,7710839,114.15,Cloud Functions,Auth handlers
Partner-Integration,azmon-0cc4223,AZURE,2026-04,0.0,184.6,23802340,250.41,Azure Monitor,Logs and metrics
Data-Science,blob-0d32531,AZURE,2026-04,0.0,2328.8,5942967,281.12,Blob Storage,Build artifacts
Production-Secondary,blob-04dd841,AZURE,2026-04,0.0,10860.9,25709,84.29,Blob Storage,Archive tier
Security-Ops,lam-09fe233,AWS,2026-04,0.0,0.0,22402654,153.37,Lambda,Data transformer
Staging-Env,fs-0f41779,GCP,2026-04,1114.8,78.1,44158034,620.13,Firestore,User profiles DB
Customer-Portal,redis-0260701,AZURE,2026-04,802.9,0.0,0,405.49,Azure Cache for Redis,Standard C2 cache
Compliance-Audit,i-1029425,AWS,2026-04,524.5,0.0,0,455.88,EC2,m5.large monitoring server
Finance-Systems,gcf-0b69780,GCP,2026-04,0.0,0.0,11774900,166.36,Cloud Functions,Data triggers
Security-Ops,ps-0ff9385,GCP,2026-04,0.0,0.0,26740981,317.34,Pub/Sub,Event streaming
Edge-Network,vpn-0c9e800,AWS,2026-04,438.6,0.0,0,109.04,VPN Gateway,Client VPN endpoint
Production-Main,r53-0c16894,AWS,2026-04,0.0,0.0,14427930,20.92,Route 53,Health checks
Edge-Network,i-06ce887,AWS,2026-04,681.5,0.0,0,2282.84,EC2,r5.2xlarge database server
Production-Main,i-0d80610,AWS,2026-04,401.6,0.0,0,1136.69,EC2,c5.2xlarge HPC node
ML-Training,i-0b25477,AWS,2026-04,505.7,0.0,0,1741.63,EC2,r5.2xlarge database server
Partner-Integration,rds-03c8753,AWS,2026-04,388.8,106.5,0,442.33,RDS,db.t3.medium MySQL staging
Marketing-Platform,r53-01dd837,AWS,2026-04,0.0,0.0,52260013,76.92,Route 53,DNS hosting
Production-Secondary,sqldb-04d6752,AZURE,2026-04,467.3,173.2,0,795.08,SQL Database,Standard S3 production
Edge-Network,ps-0791593,GCP,2026-04,0.0,0.0,40781728,499.39,Pub/Sub,Log forwarding
Marketing-Platform,i-01e7981,AWS,2026-04,530.6,0.0,0,1493.45,EC2,c5.2xlarge HPC node
Finance-Systems,sb-093d809,AZURE,2026-04,0.0,0.0,22552523,55.88,Service Bus,Standard messaging
Security-Ops,ps-0eca484,GCP,2026-04,0.0,0.0,28058601,355.03,Pub/Sub,Event streaming
Data-Science,clog-0f05447,GCP,2026-04,0.0,495.7,0,118.44,Cloud Logging,Application logs
QA-Testing,ec-1136274,AWS,2026-04,750.4,0.0,0,523.39,ElastiCache,Redis production cluster
Security-Ops,ses-09f7782,AWS,2026-04,0.0,0.0,2265292,2.58,SES,Transactional email
Finance-Systems,gcs-0589860,GCP,2026-04,0.0,360.2,5488262,62.29,Cloud Storage,Temp processing bucket
Edge-Network,cmon-040a287,GCP,2026-04,0.0,0.0,24248841,186.65,Cloud Monitoring,Metrics and alerting
Security-Ops,s3-08db379,AWS,2026-04,0.0,46.7,23423298,145.07,S3,Static website hosting
Partner-Integration,sb-03ab945,AZURE,2026-04,652.7,0.0,9393713,477.25,Service Bus,Premium messaging
Partner-Integration,ses-03cb400,AWS,2026-04,0.0,0.0,1907535,2.36,SES,Transactional email
ML-Training,lam-0c34400,AWS,2026-04,0.0,0.0,8959673,61.48,Lambda,Notification dispatcher
Edge-Network,bq-0476620,GCP,2026-04,0.0,5600.7,0,2149.48,BigQuery,Log analytics
DevOps-Central,appi-00d4852,AZURE,2026-04,0.0,0.0,58999132,739.97,Application Insights,APM telemetry
Security-Ops,eh-08a0504,AZURE,2026-04,0.0,373.1,0,86.58,Event Hubs,Capture to storage
Internal-Tools,elb-08c2704,AWS,2026-04,902.4,0.0,12846104,178.77,ELB,Classic load balancer
Compliance-Audit,ecs-0d1c714,AWS,2026-04,424.4,0.0,0,788.62,ECS,Fargate worker cluster
DevOps-Central,azmon-061e582,AZURE,2026-04,0.0,293.0,38985651,406.43,Azure Monitor,Logs and metrics
Finance-Systems,gcs-0852873,GCP,2026-04,0.0,9671.3,3122468,287.63,Cloud Storage,Data lake bucket
DR-Recovery,appi-07b6956,AZURE,2026-04,0.0,0.0,17614673,210.7,Application Insights,Custom metrics
Shared-Services,ado-078c824,AZURE,2026-04,0.0,78.2,0,18.42,Azure DevOps,Artifacts storage
Production-Main,i-1108283,AWS,2026-04,287.3,0.0,0,839.29,EC2,c5.2xlarge HPC node
Compliance-Audit,s3-0c95132,AWS,2026-04,0.0,676.8,1336955,57.59,S3,Artifact storage
Edge-Network,ebs-09ad548,AWS,2026-04,0.0,691.4,0,82.94,EBS,gp3 volumes production
Staging-Env,bq-0f5b837,GCP,2026-04,0.0,4855.1,0,1829.25,BigQuery,Log analytics
Production-Main,i-000d373,AWS,2026-04,353.7,0.0,0,1026.59,EC2,c5.2xlarge HPC node
Compliance-Audit,s3-0667496,AWS,2026-04,0.0,11213.2,2146263,377.76,S3,Data lake raw zone
Finance-Systems,blob-1044860,AZURE,2026-04,0.0,7811.7,75876,226.1,Blob Storage,Backup storage
Finance-Systems,csql-0eba390,GCP,2026-04,575.6,171.1,0,680.43,Cloud SQL,PostgreSQL replica
Data-Science,gcf-0b1b828,GCP,2026-04,0.0,0.0,9339471,139.07,Cloud Functions,Auth handlers
Mobile-Backend,ec-032e628,AWS,2026-04,557.9,0.0,0,396.55,ElastiCache,Redis production cluster
Partner-Integration,r53-060c599,AWS,2026-04,0.0,0.0,58226008,86.18,Route 53,DNS hosting
Internal-Tools,s3-0e43727,AWS,2026-04,0.0,3538.9,5552060,240.77,S3,Media content bucket
Finance-Systems,ado-0451264,AZURE,2026-04,473.2,0.0,0,229.05,Azure DevOps,Pipelines hosted
Production-Main,vai-0775922,GCP,2026-04,663.6,0.0,7298584,1410.61,Vertex AI,Model serving endpoints
Security-Ops,ecs-0499787,AWS,2026-04,405.1,0.0,0,713.94,ECS,Fargate worker cluster
Finance-Systems,gcf-0239796,GCP,2026-04,0.0,0.0,13426802,194.52,Cloud Functions,Data triggers
Finance-Systems,cr-086d481,GCP,2026-04,529.5,0.0,2196641,643.95,Cloud Run,ETL pipeline service
IoT-Platform,fs-064b410,GCP,2026-04,953.4,26.9,62808687,680.35,Firestore,Session store
Shared-Services,sb-0621661,AZURE,2026-04,512.5,0.0,7406623,389.58,Service Bus,Premium messaging
Analytics-Platform,vai-0b7a724,GCP,2026-04,193.6,0.0,0,936.93,Vertex AI,AutoML jobs
Production-Main,csql-109c812,GCP,2026-04,701.2,511.9,0,1392.9,Cloud SQL,MySQL analytics
Production-Secondary,ps-1180924,GCP,2026-04,0.0,0.0,11891105,139.29,Pub/Sub,Data pipeline
Customer-Portal,func-081c995,AZURE,2026-04,0.0,0.0,2551868,38.75,Azure Functions,Webhook processor
Partner-Integration,vai-03b5957,GCP,2026-04,202.7,0.0,0,1007.97,Vertex AI,AutoML jobs
Marketing-Platform,vai-0c18574,GCP,2026-04,228.7,0.0,0,1086.54,Vertex AI,AutoML jobs
Analytics-Platform,clog-0e12229,GCP,2026-04,0.0,422.1,0,101.8,Cloud Logging,Application logs
Production-Secondary,s3-0075793,AWS,2026-04,0.0,62.0,31303053,191.52,S3,Static website hosting
Security-Ops,sqs-0195828,AWS,2026-04,0.0,0.0,36019828,18.25,SQS,Event notification queue
Security-Ops,ebs-08c0486,AWS,2026-04,0.0,663.9,0,401.24,EBS,io2 volumes database
Production-Main,cf-0a4b960,AWS,2026-04,0.0,0.0,53887201,268.56,CloudFront,CDN API distribution
QA-Testing,elb-03e9138,AWS,2026-04,729.5,0.0,53622493,323.56,ELB,Network load balancer
Marketing-Platform,sm-10db510,AWS,2026-04,0.0,0.0,1112240,4.15,Secrets Manager,Application secrets
Marketing-Platform,gke-1057959,GCP,2026-04,1926.0,0.0,0,3826.25,GKE,ML training cluster
Customer-Portal,vm-0dcd189,AZURE,2026-04,437.1,0.0,0,766.0,Virtual Machines,E4s v3 SIEM collector
DevOps-Central,cosmos-00ee239,AZURE,2026-04,689.0,48.6,14143789,449.09,Cosmos DB,Config store
Staging-Env,fs-109d158,GCP,2026-04,698.8,50.9,28618530,399.37,Firestore,User profiles DB
Finance-Systems,aks-0554673,AZURE,2026-04,249.8,0.0,0,372.52,AKS,Dev K8s cluster
Data-Science,ses-0e41871,AWS,2026-04,0.0,0.0,1994933,2.33,SES,Transactional email
Internal-Tools,eh-097f635,AZURE,2026-04,0.0,496.8,0,120.45,Event Hubs,Capture to storage
Production-Main,rds-0005467,AWS,2026-04,632.8,441.1,0,1541.83,RDS,db.r5.xlarge PostgreSQL primary
DR-Recovery,appi-0d8e996,AZURE,2026-04,0.0,0.0,47490960,562.48,Application Insights,APM telemetry
Shared-Services,gcs-06aa524,GCP,2026-04,0.0,6908.4,168267,154.85,Cloud Storage,Backup bucket
Finance-Systems,redis-0211914,AZURE,2026-04,703.2,0.0,0,838.56,Azure Cache for Redis,Premium P1 cache
QA-Testing,ebs-0cff760,AWS,2026-04,0.0,1056.1,0,127.16,EBS,gp3 volumes production
Production-Secondary,elb-0fed620,AWS,2026-04,533.4,0.0,36411924,218.77,ELB,Network load balancer
Production-Secondary,csql-008e810,GCP,2026-04,562.8,393.0,0,1096.72,Cloud SQL,MySQL analytics
Customer-Portal,eh-075a870,AZURE,2026-04,639.7,0.0,27183885,295.88,Event Hubs,Standard throughput units
Production-Main,blob-086a814,AZURE,2026-04,0.0,2230.5,5858327,275.52,Blob Storage,Build artifacts
ML-Training,ebs-0b54889,AWS,2026-04,0.0,4216.0,0,181.64,EBS,st1 volumes archive
Finance-Systems,gcf-0ebd850,GCP,2026-04,0.0,0.0,10602172,153.74,Cloud Functions,Data triggers
Analytics-Platform,aks-09f1619,AZURE,2026-04,1150.7,0.0,0,1685.25,AKS,Staging K8s cluster
Partner-Integration,sm-03d6254,AWS,2026-04,0.0,0.0,1146009,4.54,Secrets Manager,Application secrets
Analytics-Platform,ado-0968389,AZURE,2026-04,0.0,111.4,0,26.51,Azure DevOps,Artifacts storage
Finance-Systems,cr-0fbf375,GCP,2026-04,467.2,0.0,1938030,577.14,Cloud Run,ETL pipeline service
Customer-Portal,vm-0d19441,AZURE,2026-04,473.7,0.0,0,289.28,Virtual Machines,D2s v3 utility server
Security-Ops,s3-09e0838,AWS,2026-04,0.0,51.3,25182276,160.58,S3,Static website hosting
Edge-Network,ebs-0907384,AWS,2026-04,0.0,387.8,0,228.13,EBS,io2 volumes database
ML-Training,sqs-0365439,AWS,2026-04,0.0,0.0,462910,0.22,SQS,Dead letter queue
Partner-Integration,eks-03c4771,AWS,2026-04,382.5,0.0,0,1151.89,EKS,Staging K8s cluster
Compliance-Audit,ses-0ad0283,AWS,2026-04,0.0,0.0,1633577,1.94,SES,Transactional email
Shared-Services,vm-0594419,AZURE,2026-04,753.9,0.0,0,2631.88,Virtual Machines,E8s v3 memory-optimized
Internal-Tools,gcs-0985887,GCP,2026-04,0.0,18431.9,6052565,511.44,Cloud Storage,Data lake bucket
Mobile-Backend,sqldb-0e7e331,AZURE,2026-04,683.9,481.0,0,2676.76,SQL Database,Premium P1 analytics
Production-Secondary,app-05e2432,AZURE,2026-04,1024.4,0.0,0,621.24,App Service,Web app P1v3
Shared-Services,rds-0c30227,AWS,2026-04,429.8,314.9,0,828.44,RDS,db.r5.large PostgreSQL replica
Production-Main,blob-09bc732,AZURE,2026-04,0.0,5534.8,2026577,277.06,Blob Storage,Data lake storage
Customer-Portal,ses-0bde451,AWS,2026-04,0.0,0.0,620744,0.75,SES,Marketing email
Compliance-Audit,rds-055c490,AWS,2026-04,1021.8,710.4,0,1966.53,RDS,db.r5.large PostgreSQL replica
Data-Science,kin-0141333,AWS,2026-04,658.6,0.0,18692656,263.7,Kinesis,Firehose delivery
Analytics-Platform,bq-0a93447,GCP,2026-04,0.0,1949.0,0,734.64,BigQuery,BI reporting views
Analytics-Platform,clog-0d3f486,GCP,2026-04,0.0,381.4,0,92.32,Cloud Logging,Application logs
Staging-Env,bq-00fd332,GCP,2026-04,0.0,1835.2,0,702.2,BigQuery,Data export queries
Marketing-Platform,gke-01f1963,GCP,2026-04,2212.4,0.0,0,4277.79,GKE,ML training cluster
Mobile-Backend,kv-0d0a877,AZURE,2026-04,0.0,0.0,1463627,4.26,Key Vault,Secrets management
Production-Secondary,blob-04c0764,AZURE,2026-04,0.0,2069.5,5082478,324.35,Blob Storage,Media content
Security-Ops,sqs-0acf483,AWS,2026-04,0.0,0.0,40783317,19.98,SQS,Event notification queue
Marketing-Platform,sm-0c60824,AWS,2026-04,0.0,0.0,864647,3.46,Secrets Manager,Application secrets
Customer-Portal,vm-0ea1350,AZURE,2026-04,559.7,0.0,0,324.6,Virtual Machines,D2s v3 utility server
Edge-Network,eks-0c0a109,AWS,2026-04,531.4,0.0,0,1620.37,EKS,Production K8s cluster
Shared-Services,aks-01c1897,AZURE,2026-04,971.0,0.0,0,1414.06,AKS,Staging K8s cluster
Production-Secondary,vai-078b500,GCP,2026-04,210.5,0.0,0,1045.45,Vertex AI,AutoML jobs
ML-Training,i-0b05946,AWS,2026-04,526.5,0.0,0,1731.55,EC2,r5.2xlarge database server
Marketing-Platform,vai-0675764,GCP,2026-04,506.0,0.0,5681770,1062.2,Vertex AI,Model serving endpoints
Finance-Systems,app-0d8b965,AZURE,2026-04,757.8,0.0,0,114.95,App Service,Web app B1
Production-Main,cf-05be618,AWS,2026-04,0.0,0.0,47516430,229.35,CloudFront,CDN API distribution
Production-Secondary,ecs-0073512,AWS,2026-04,435.9,0.0,0,768.75,ECS,Fargate API cluster
Data-Science,gcs-0a7b183,GCP,2026-04,0.0,8357.3,208497,188.3,Cloud Storage,Backup bucket
Compliance-Audit,elb-0d8f759,AWS,2026-04,347.8,0.0,23538893,146.65,ELB,Network load balancer
Security-Ops,ecs-1053185,AWS,2026-04,429.9,0.0,0,760.62,ECS,Fargate worker cluster
Internal-Tools,rds-02c5855,AWS,2026-04,626.1,452.9,0,1556.36,RDS,db.r5.xlarge PostgreSQL primary
Marketing-Platform,r53-0b06291,AWS,2026-04,0.0,0.0,47729926,71.29,Route 53,DNS hosting
Edge-Network,csql-04c4474,GCP,2026-04,783.9,229.5,0,942.87,Cloud SQL,PostgreSQL replica
Data-Science,blob-06c1498,AZURE,2026-04,0.0,8969.5,88528,253.02,Blob Storage,Backup storage
Analytics-Platform,bq-0616922,GCP,2026-04,0.0,15668.3,0,5829.8,BigQuery,ML training datasets
Internal-Tools,gcs-08ae795,GCP,2026-04,0.0,1907.6,906565,278.59,Cloud Storage,Model artifacts
Analytics-Platform,eh-0c1e810,AZURE,2026-04,433.1,0.0,18191384,195.96,Event Hubs,Standard throughput units
QA-Testing,lam-1169721,AWS,2026-04,0.0,0.0,74934486,523.18,Lambda,Auth token validator
Shared-Services,func-0456674,AZURE,2026-04,0.0,0.0,414523,6.02,Azure Functions,Timer triggers
Data-Science,cr-0124770,GCP,2026-04,277.1,0.0,1149751,238.86,Cloud Run,Image processor
Analytics-Platform,gcs-067a623,GCP,2026-04,0.0,2342.4,2220311,159.27,Cloud Storage,Media assets bucket
Finance-Systems,cosmos-0527195,AZURE,2026-04,449.6,126.1,24935284,980.62,Cosmos DB,User data store
Partner-Integration,app-03b2567,AZURE,2026-04,555.4,0.0,0,344.01,App Service,Web app P1v3
Compliance-Audit,elb-0385602,AWS,2026-04,686.6,0.0,28558791,203.94,ELB,Application load balancer
Finance-Systems,s3-0570229,AWS,2026-04,0.0,2247.1,1075459,81.0,S3,Analytics export bucket
DevOps-Central,aks-0f83666,AZURE,2026-04,368.5,0.0,0,535.78,AKS,Dev K8s cluster
QA-Testing,lam-0622244,AWS,2026-04,0.0,0.0,29728743,197.56,Lambda,API gateway handler
Production-Secondary,sentinel-118d311,AZURE,2026-04,0.0,0.0,57150949,1450.03,Microsoft Sentinel,SIEM detection
Customer-Portal,df-027d947,GCP,2026-04,607.9,0.0,0,1423.34,Dataflow,Streaming pipeline
Production-Main,kv-0426522,AZURE,2026-04,0.0,0.0,2019072,6.01,Key Vault,Secrets management
QA-Testing,lam-07f0573,AWS,2026-04,0.0,0.0,4468887,30.18,Lambda,Image resizer
Marketing-Platform,sm-01d7826,AWS,2026-04,0.0,0.0,827534,3.32,Secrets Manager,Application secrets
Edge-Network,ec-0e4b931,AWS,2026-04,703.2,0.0,0,514.44,ElastiCache,Redis production cluster
Marketing-Platform,rds-0d51613,AWS,2026-04,436.3,120.8,0,503.73,RDS,db.t3.medium MySQL staging
ML-Training,kin-0a76630,AWS,2026-04,665.6,0.0,27283791,391.69,Kinesis,Data stream ingestion
Security-Ops,eks-0191572,AWS,2026-04,464.6,0.0,0,1297.47,EKS,Staging K8s cluster
Shared-Services,vpn-0199240,AWS,2026-04,804.3,0.0,0,203.98,VPN Gateway,Client VPN endpoint
Mobile-Backend,sqldb-1045702,AZURE,2026-04,682.7,489.0,0,2722.05,SQL Database,Premium P1 analytics
Shared-Services,kv-0d17212,AZURE,2026-04,0.0,0.0,377066,1.07,Key Vault,Certificate store
Finance-Systems,s3-0555363,AWS,2026-04,0.0,60.9,31226716,195.37,S3,Static website hosting
Compliance-Audit,s3-0f76493,AWS,2026-04,0.0,764.2,1494469,63.45,S3,Artifact storage
Partner-Integration,vai-0eb9357,GCP,2026-04,546.6,0.0,0,2623.64,Vertex AI,Training pipelines
Internal-Tools,lam-100a745,AWS,2026-04,0.0,0.0,993333,7.56,Lambda,Cron job runner
Marketing-Platform,ddb-0bef403,AWS,2026-04,535.7,7.5,3694618,64.38,DynamoDB,Config store table
Data-Science,gcs-043a104,GCP,2026-04,0.0,555.9,8995240,100.4,Cloud Storage,Temp processing bucket
Finance-Systems,vm-05c1838,AZURE,2026-04,665.4,0.0,0,1652.31,Virtual Machines,D8s v3 application server
Analytics-Platform,kv-05a4469,AZURE,2026-04,0.0,0.0,1330779,4.04,Key Vault,Secrets management
Security-Ops,ebs-0a88692,AWS,2026-04,0.0,4001.7,0,171.15,EBS,st1 volumes archive
Internal-Tools,cr-02e1655,GCP,2026-04,437.3,0.0,3850825,380.53,Cloud Run,Webhook handler
Marketing-Platform,vpn-04ea593,AWS,2026-04,721.2,0.0,0,179.6,VPN Gateway,Client VPN endpoint
IoT-Platform,mem-1148803,GCP,2026-04,741.9,0.0,0,535.11,Memorystore,Redis production cache
Partner-Integration,vai-1105921,GCP,2026-04,212.3,0.0,0,1042.28,Vertex AI,AutoML jobs
Finance-Systems,clog-0eff840,GCP,2026-04,0.0,190.7,0,46.15,Cloud Logging,Audit logs
