Account_Name,Resource_ID,Cloud_Provider,Billing_Period,Compute_Hours,Storage_GB_Used,API_Requests,Total_Charge,Service_Name,Description
DevOps-Central,azmon-0b5a859,AZURE,2026-05,0.0,308.7,40669644,430.78,Azure Monitor,Logs and metrics
Staging-Env,df-080d892,GCP,2026-05,588.1,0.0,0,1451.25,Dataflow,Streaming pipeline
Data-Science,cosmos-0de3347,AZURE,2026-05,752.1,214.1,41717389,1682.03,Cosmos DB,User data store
Customer-Portal,eh-067c886,AZURE,2026-05,0.0,591.6,0,145.43,Event Hubs,Capture to storage
Security-Ops,ecs-0ca2184,AWS,2026-05,480.8,0.0,0,863.34,ECS,Fargate API cluster
Production-Secondary,sqs-0086923,AWS,2026-05,0.0,0.0,24234983,12.04,SQS,Event notification queue
Internal-Tools,gcs-0a02698,GCP,2026-05,0.0,458.3,7093848,82.46,Cloud Storage,Temp processing bucket
Finance-Systems,eks-061d810,AWS,2026-05,809.5,0.0,0,2353.59,EKS,Production K8s cluster
Production-Main,kin-045b307,AWS,2026-05,711.2,0.0,19819527,285.86,Kinesis,Firehose delivery
Shared-Services,nat-0d7f916,AWS,2026-05,628.1,0.0,0,292.68,NAT Gateway,Production VPC NAT
Finance-Systems,aks-0bf9833,AZURE,2026-05,238.1,0.0,0,356.73,AKS,Dev K8s cluster
Customer-Portal,ebs-0b9a537,AWS,2026-05,0.0,506.5,0,307.18,EBS,io2 volumes database
Production-Main,cmon-0696406,GCP,2026-05,0.0,0.0,20003088,158.31,Cloud Monitoring,Metrics and alerting
DevOps-Central,ec-0ce8236,AWS,2026-05,695.1,0.0,0,485.74,ElastiCache,Redis production cluster
Partner-Integration,sm-0856857,AWS,2026-05,0.0,0.0,1343789,5.4,Secrets Manager,Application secrets
Security-Ops,vm-0f8c889,AZURE,2026-05,662.9,0.0,0,401.77,Virtual Machines,D2s v3 utility server
Compliance-Audit,elb-0aeb454,AWS,2026-05,429.4,0.0,29098739,178.46,ELB,Network load balancer
Mobile-Backend,ebs-0898961,AWS,2026-05,0.0,4016.7,0,175.77,EBS,st1 volumes archive
Marketing-Platform,gke-110b932,GCP,2026-05,3412.3,0.0,0,6784.55,GKE,GPU node pool
Security-Ops,lam-017a794,AWS,2026-05,0.0,0.0,3667535,25.11,Lambda,Image resizer
Partner-Integration,rds-1042178,AWS,2026-05,870.1,613.2,0,1738.25,RDS,db.r5.large PostgreSQL replica
Customer-Portal,blob-0442236,AZURE,2026-05,0.0,5169.1,0,503.41,Blob Storage,Security audit logs
Customer-Portal,csql-027c570,GCP,2026-05,946.0,267.9,0,1124.03,Cloud SQL,PostgreSQL replica
IoT-Platform,bq-0d7b721,GCP,2026-05,0.0,1929.0,0,750.55,BigQuery,Data export queries
Analytics-Platform,aks-059f313,AZURE,2026-05,1268.8,0.0,0,1878.97,AKS,Staging K8s cluster
Customer-Portal,clog-0274116,GCP,2026-05,0.0,548.8,0,134.13,Cloud Logging,Application logs
Edge-Network,df-098c180,GCP,2026-05,601.2,0.0,0,1486.64,Dataflow,Streaming pipeline
Data-Science,gcf-0cd0636,GCP,2026-05,0.0,0.0,19753750,291.71,Cloud Functions,Pub/Sub processors
Security-Ops,sm-08a6920,AWS,2026-05,0.0,0.0,1176746,4.68,Secrets Manager,Application secrets
Customer-Portal,blob-0c4e917,AZURE,2026-05,0.0,4600.1,0,450.98,Blob Storage,Security audit logs
Production-Main,eh-0026187,AZURE,2026-05,0.0,653.8,0,157.22,Event Hubs,Capture to storage
Compliance-Audit,sns-0c1d686,AWS,2026-05,0.0,0.0,11279156,5.61,SNS,Alert notifications
IoT-Platform,mem-0d64683,GCP,2026-05,724.8,0.0,0,508.01,Memorystore,Redis production cache
Customer-Portal,appi-0257485,AZURE,2026-05,0.0,0.0,38000931,478.0,Application Insights,APM telemetry
DevOps-Central,vm-0814453,AZURE,2026-05,613.6,0.0,0,180.94,Virtual Machines,B2s development VM
Edge-Network,ecs-031f111,AWS,2026-05,275.2,0.0,0,493.93,ECS,Fargate worker cluster
ML-Training,i-0dad813,AWS,2026-05,590.8,0.0,0,2049.97,EC2,r5.2xlarge database server
Production-Secondary,redis-0801574,AZURE,2026-05,1007.0,0.0,0,503.95,Azure Cache for Redis,Standard C2 cache
Marketing-Platform,sm-0a3a425,AWS,2026-05,0.0,0.0,816463,3.19,Secrets Manager,Application secrets
Compliance-Audit,kin-083d194,AWS,2026-05,645.2,0.0,26624964,383.21,Kinesis,Data stream ingestion
Finance-Systems,gcf-1015168,GCP,2026-05,0.0,0.0,7742390,114.4,Cloud Functions,Auth handlers
Partner-Integration,eks-03c5402,AWS,2026-05,702.9,0.0,0,2157.28,EKS,Production K8s cluster
Edge-Network,lam-0e35921,AWS,2026-05,0.0,0.0,18908746,133.97,Lambda,Data transformer
Finance-Systems,ado-0e52241,AZURE,2026-05,519.5,0.0,0,251.41,Azure DevOps,Pipelines hosted
Marketing-Platform,sm-0d30645,AWS,2026-05,0.0,0.0,1011051,4.06,Secrets Manager,Application secrets
Marketing-Platform,sm-0e7c136,AWS,2026-05,0.0,0.0,767621,2.95,Secrets Manager,Application secrets
Finance-Systems,sentinel-07b4432,AZURE,2026-05,0.0,0.0,106360470,2547.51,Microsoft Sentinel,SIEM detection
Partner-Integration,elb-0bd4274,AWS,2026-05,568.5,0.0,8000298,117.64,ELB,Classic load balancer
Marketing-Platform,gke-0c87458,GCP,2026-05,1717.6,0.0,0,3426.59,GKE,ML training cluster
Internal-Tools,rs-02b6574,AWS,2026-05,0.0,0.0,4566280,225.61,Redshift,Spectrum queries
Production-Secondary,sentinel-0502751,AZURE,2026-05,0.0,0.0,60892171,1542.14,Microsoft Sentinel,SIEM detection
Data-Science,rs-0146862,AWS,2026-05,679.9,1905.1,0,3478.64,Redshift,Data warehouse cluster
ML-Training,lam-055d746,AWS,2026-05,0.0,0.0,9892916,68.61,Lambda,Notification dispatcher
Customer-Portal,func-0958195,AZURE,2026-05,0.0,0.0,2432148,36.64,Azure Functions,Webhook processor
Finance-Systems,kv-0563504,AZURE,2026-05,0.0,0.0,2737164,8.1,Key Vault,Secrets management
Finance-Systems,gcf-0517299,GCP,2026-05,0.0,0.0,8323117,122.48,Cloud Functions,Auth handlers
Partner-Integration,azmon-0cc4223,AZURE,2026-05,0.0,195.5,26017364,266.57,Azure Monitor,Logs and metrics
Data-Science,blob-0d32531,AZURE,2026-05,0.0,2374.6,6343331,304.15,Blob Storage,Build artifacts
Production-Secondary,blob-04dd841,AZURE,2026-05,0.0,11231.6,28487,87.27,Blob Storage,Archive tier
Security-Ops,lam-09fe233,AWS,2026-05,0.0,0.0,22834629,160.81,Lambda,Data transformer
Staging-Env,fs-0f41779,GCP,2026-05,1155.1,80.1,46765583,657.22,Firestore,User profiles DB
Customer-Portal,redis-0260701,AZURE,2026-05,850.3,0.0,0,429.4,Azure Cache for Redis,Standard C2 cache
Compliance-Audit,i-1029425,AWS,2026-05,567.2,0.0,0,488.95,EC2,m5.large monitoring server
Finance-Systems,gcf-0b69780,GCP,2026-05,0.0,0.0,12134020,181.64,Cloud Functions,Data triggers
Security-Ops,ps-0ff9385,GCP,2026-05,0.0,0.0,27512386,339.02,Pub/Sub,Event streaming
Edge-Network,vpn-0c9e800,AWS,2026-05,471.6,0.0,0,115.7,VPN Gateway,Client VPN endpoint
Production-Main,r53-0c16894,AWS,2026-05,0.0,0.0,14543136,21.93,Route 53,Health checks
Edge-Network,i-06ce887,AWS,2026-05,694.7,0.0,0,2417.51,EC2,r5.2xlarge database server
Production-Main,i-0d80610,AWS,2026-05,432.2,0.0,0,1224.35,EC2,c5.2xlarge HPC node
ML-Training,i-0b25477,AWS,2026-05,527.8,0.0,0,1828.99,EC2,r5.2xlarge database server
Partner-Integration,rds-03c8753,AWS,2026-05,407.8,112.1,0,462.28,RDS,db.t3.medium MySQL staging
Marketing-Platform,r53-01dd837,AWS,2026-05,0.0,0.0,54211373,80.41,Route 53,DNS hosting
Production-Secondary,sqldb-04d6752,AZURE,2026-05,507.7,176.7,0,843.95,SQL Database,Standard S3 production
Edge-Network,ps-0791593,GCP,2026-05,0.0,0.0,44841835,538.6,Pub/Sub,Log forwarding
Marketing-Platform,i-01e7981,AWS,2026-05,547.6,0.0,0,1601.19,EC2,c5.2xlarge HPC node
Finance-Systems,sb-093d809,AZURE,2026-05,0.0,0.0,24768805,61.25,Service Bus,Standard messaging
Security-Ops,ps-0eca484,GCP,2026-05,0.0,0.0,30157017,376.31,Pub/Sub,Event streaming
Data-Science,clog-0f05447,GCP,2026-05,0.0,505.5,0,125.75,Cloud Logging,Application logs
QA-Testing,ec-1136274,AWS,2026-05,775.9,0.0,0,558.1,ElastiCache,Redis production cluster
Security-Ops,ses-09f7782,AWS,2026-05,0.0,0.0,2337282,2.81,SES,Transactional email
Finance-Systems,gcs-0589860,GCP,2026-05,0.0,370.6,6015102,68.54,Cloud Storage,Temp processing bucket
Edge-Network,cmon-040a287,GCP,2026-05,0.0,0.0,25761793,196.73,Cloud Monitoring,Metrics and alerting
Security-Ops,s3-08db379,AWS,2026-05,0.0,49.0,23827293,158.05,S3,Static website hosting
Partner-Integration,sb-03ab945,AZURE,2026-05,683.9,0.0,9658465,529.85,Service Bus,Premium messaging
Partner-Integration,ses-03cb400,AWS,2026-05,0.0,0.0,2101864,2.5,SES,Transactional email
ML-Training,lam-0c34400,AWS,2026-05,0.0,0.0,9452655,66.35,Lambda,Notification dispatcher
Edge-Network,bq-0476620,GCP,2026-05,0.0,5691.7,0,2222.15,BigQuery,Log analytics
DevOps-Central,appi-00d4852,AZURE,2026-05,0.0,0.0,62860448,770.52,Application Insights,APM telemetry
Security-Ops,eh-08a0504,AZURE,2026-05,0.0,379.6,0,95.36,Event Hubs,Capture to storage
Internal-Tools,elb-08c2704,AWS,2026-05,940.5,0.0,13118206,191.61,ELB,Classic load balancer
Compliance-Audit,ecs-0d1c714,AWS,2026-05,462.0,0.0,0,845.82,ECS,Fargate worker cluster
DevOps-Central,azmon-061e582,AZURE,2026-05,0.0,312.0,40325625,432.47,Azure Monitor,Logs and metrics
Finance-Systems,gcs-0852873,GCP,2026-05,0.0,10299.5,3441023,303.43,Cloud Storage,Data lake bucket
DR-Recovery,appi-07b6956,AZURE,2026-05,0.0,0.0,18350191,230.9,Application Insights,Custom metrics
Shared-Services,ado-078c824,AZURE,2026-05,0.0,79.6,0,19.8,Azure DevOps,Artifacts storage
Production-Main,i-1108283,AWS,2026-05,304.6,0.0,0,884.5,EC2,c5.2xlarge HPC node
Compliance-Audit,s3-0c95132,AWS,2026-05,0.0,716.5,1440610,60.54,S3,Artifact storage
Edge-Network,ebs-09ad548,AWS,2026-05,0.0,702.5,0,86.32,EBS,gp3 volumes production
Staging-Env,bq-0f5b837,GCP,2026-05,0.0,5046.0,0,1950.04,BigQuery,Log analytics
Production-Main,i-000d373,AWS,2026-05,382.6,0.0,0,1087.26,EC2,c5.2xlarge HPC node
Compliance-Audit,s3-0667496,AWS,2026-05,0.0,11789.8,2310553,402.2,S3,Data lake raw zone
Finance-Systems,blob-1044860,AZURE,2026-05,0.0,8075.0,80104,240.27,Blob Storage,Backup storage
Finance-Systems,csql-0eba390,GCP,2026-05,612.5,174.4,0,756.99,Cloud SQL,PostgreSQL replica
Data-Science,gcf-0b1b828,GCP,2026-05,0.0,0.0,9805442,144.92,Cloud Functions,Auth handlers
Mobile-Backend,ec-032e628,AWS,2026-05,591.7,0.0,0,416.56,ElastiCache,Redis production cluster
Partner-Integration,r53-060c599,AWS,2026-05,0.0,0.0,63550875,92.4,Route 53,DNS hosting
Internal-Tools,s3-0e43727,AWS,2026-05,0.0,3592.8,5633869,261.36,S3,Media content bucket
Finance-Systems,ado-0451264,AZURE,2026-05,496.2,0.0,0,244.32,Azure DevOps,Pipelines hosted
Production-Main,vai-0775922,GCP,2026-05,714.1,0.0,7862069,1535.44,Vertex AI,Model serving endpoints
Security-Ops,ecs-0499787,AWS,2026-05,425.5,0.0,0,743.65,ECS,Fargate worker cluster
Finance-Systems,gcf-0239796,GCP,2026-05,0.0,0.0,13936401,207.51,Cloud Functions,Data triggers
Finance-Systems,cr-086d481,GCP,2026-05,547.3,0.0,2218816,693.33,Cloud Run,ETL pipeline service
IoT-Platform,fs-064b410,GCP,2026-05,972.1,27.5,68269776,715.12,Firestore,Session store
Shared-Services,sb-0621661,AZURE,2026-05,536.1,0.0,7751297,420.4,Service Bus,Premium messaging
Analytics-Platform,vai-0b7a724,GCP,2026-05,199.4,0.0,0,989.62,Vertex AI,AutoML jobs
Production-Main,csql-109c812,GCP,2026-05,765.2,519.5,0,1450.58,Cloud SQL,MySQL analytics
Production-Secondary,ps-1180924,GCP,2026-05,0.0,0.0,12428163,152.17,Pub/Sub,Data pipeline
Customer-Portal,func-081c995,AZURE,2026-05,0.0,0.0,2711871,40.03,Azure Functions,Webhook processor
Partner-Integration,vai-03b5957,GCP,2026-05,215.1,0.0,0,1083.65,Vertex AI,AutoML jobs
Marketing-Platform,vai-0c18574,GCP,2026-05,233.3,0.0,0,1154.97,Vertex AI,AutoML jobs
Analytics-Platform,clog-0e12229,GCP,2026-05,0.0,454.2,0,111.4,Cloud Logging,Application logs
Production-Secondary,s3-0075793,AWS,2026-05,0.0,64.9,32599849,206.6,S3,Static website hosting
Security-Ops,sqs-0195828,AWS,2026-05,0.0,0.0,38750415,19.02,SQS,Event notification queue
Security-Ops,ebs-08c0486,AWS,2026-05,0.0,691.8,0,422.58,EBS,io2 volumes database
Production-Main,cf-0a4b960,AWS,2026-05,0.0,0.0,57663203,276.02,CloudFront,CDN API distribution
QA-Testing,elb-03e9138,AWS,2026-05,799.0,0.0,54459389,345.49,ELB,Network load balancer
Marketing-Platform,sm-10db510,AWS,2026-05,0.0,0.0,1133741,4.51,Secrets Manager,Application secrets
Marketing-Platform,gke-1057959,GCP,2026-05,2087.1,0.0,0,4194.29,GKE,ML training cluster
Customer-Portal,vm-0dcd189,AZURE,2026-05,460.7,0.0,0,819.41,Virtual Machines,E4s v3 SIEM collector
DevOps-Central,cosmos-00ee239,AZURE,2026-05,735.1,50.0,14910667,482.77,Cosmos DB,Config store
Staging-Env,fs-109d158,GCP,2026-05,744.7,52.5,30815300,425.71,Firestore,User profiles DB
Finance-Systems,aks-0554673,AZURE,2026-05,261.7,0.0,0,397.14,AKS,Dev K8s cluster
Data-Science,ses-0e41871,AWS,2026-05,0.0,0.0,2113717,2.48,SES,Transactional email
Internal-Tools,eh-097f635,AZURE,2026-05,0.0,524.4,0,127.18,Event Hubs,Capture to storage
Production-Main,rds-0005467,AWS,2026-05,650.7,466.0,0,1688.29,RDS,db.r5.xlarge PostgreSQL primary
DR-Recovery,appi-0d8e996,AZURE,2026-05,0.0,0.0,49198061,618.83,Application Insights,APM telemetry
Shared-Services,gcs-06aa524,GCP,2026-05,0.0,7406.9,178577,165.39,Cloud Storage,Backup bucket
Finance-Systems,redis-0211914,AZURE,2026-05,749.4,0.0,0,889.91,Azure Cache for Redis,Premium P1 cache
QA-Testing,ebs-0cff760,AWS,2026-05,0.0,1101.0,0,136.94,EBS,gp3 volumes production
Production-Secondary,elb-0fed620,AWS,2026-05,552.6,0.0,38599162,233.24,ELB,Network load balancer
Production-Secondary,csql-008e810,GCP,2026-05,590.9,419.9,0,1157.98,Cloud SQL,MySQL analytics
Customer-Portal,eh-075a870,AZURE,2026-05,688.6,0.0,28947123,320.07,Event Hubs,Standard throughput units
Production-Main,blob-086a814,AZURE,2026-05,0.0,2288.1,6233320,299.95,Blob Storage,Build artifacts
ML-Training,ebs-0b54889,AWS,2026-05,0.0,4377.9,0,197.82,EBS,st1 volumes archive
Finance-Systems,gcf-0ebd850,GCP,2026-05,0.0,0.0,11397421,164.92,Cloud Functions,Data triggers
Analytics-Platform,aks-09f1619,AZURE,2026-05,1189.2,0.0,0,1745.87,AKS,Staging K8s cluster
Partner-Integration,sm-03d6254,AWS,2026-05,0.0,0.0,1249522,4.87,Secrets Manager,Application secrets
Analytics-Platform,ado-0968389,AZURE,2026-05,0.0,117.0,0,28.88,Azure DevOps,Artifacts storage
Finance-Systems,cr-0fbf375,GCP,2026-05,482.9,0.0,1979071,633.64,Cloud Run,ETL pipeline service
Customer-Portal,vm-0d19441,AZURE,2026-05,505.8,0.0,0,307.96,Virtual Machines,D2s v3 utility server
Security-Ops,s3-09e0838,AWS,2026-05,0.0,53.8,26998253,177.02,S3,Static website hosting
Edge-Network,ebs-0907384,AWS,2026-05,0.0,390.4,0,248.76,EBS,io2 volumes database
ML-Training,sqs-0365439,AWS,2026-05,0.0,0.0,495091,0.24,SQS,Dead letter queue
Partner-Integration,eks-03c4771,AWS,2026-05,420.7,0.0,0,1242.32,EKS,Staging K8s cluster
Compliance-Audit,ses-0ad0283,AWS,2026-05,0.0,0.0,1693774,2.08,SES,Transactional email
Shared-Services,vm-0594419,AZURE,2026-05,779.6,0.0,0,2834.4,Virtual Machines,E8s v3 memory-optimized
Internal-Tools,gcs-0985887,GCP,2026-05,0.0,18725.2,6348924,564.01,Cloud Storage,Data lake bucket
Mobile-Backend,sqldb-0e7e331,AZURE,2026-05,726.6,499.0,0,2929.55,SQL Database,Premium P1 analytics
Production-Secondary,app-05e2432,AZURE,2026-05,1090.3,0.0,0,649.54,App Service,Web app P1v3
Shared-Services,rds-0c30227,AWS,2026-05,459.4,328.1,0,895.44,RDS,db.r5.large PostgreSQL replica
Production-Main,blob-09bc732,AZURE,2026-05,0.0,5668.3,2134826,299.93,Blob Storage,Data lake storage
Customer-Portal,ses-0bde451,AWS,2026-05,0.0,0.0,655189,0.78,SES,Marketing email
Compliance-Audit,rds-055c490,AWS,2026-05,1034.5,726.8,0,2052.25,RDS,db.r5.large PostgreSQL replica
Data-Science,kin-0141333,AWS,2026-05,704.5,0.0,19511805,276.08,Kinesis,Firehose delivery
Analytics-Platform,bq-0a93447,GCP,2026-05,0.0,1971.6,0,770.08,BigQuery,BI reporting views
Analytics-Platform,clog-0d3f486,GCP,2026-05,0.0,395.7,0,97.17,Cloud Logging,Application logs
Staging-Env,bq-00fd332,GCP,2026-05,0.0,1960.2,0,771.71,BigQuery,Data export queries
Marketing-Platform,gke-01f1963,GCP,2026-05,2255.7,0.0,0,4485.02,GKE,ML training cluster
Mobile-Backend,kv-0d0a877,AZURE,2026-05,0.0,0.0,1504520,4.58,Key Vault,Secrets management
Production-Secondary,blob-04c0764,AZURE,2026-05,0.0,2199.2,5384085,355.99,Blob Storage,Media content
Security-Ops,sqs-0acf483,AWS,2026-05,0.0,0.0,43197208,21.34,SQS,Event notification queue
Marketing-Platform,sm-0c60824,AWS,2026-05,0.0,0.0,946546,3.69,Secrets Manager,Application secrets
Customer-Portal,vm-0ea1350,AZURE,2026-05,584.9,0.0,0,354.01,Virtual Machines,D2s v3 utility server
Edge-Network,eks-0c0a109,AWS,2026-05,584.1,0.0,0,1721.65,EKS,Production K8s cluster
Shared-Services,aks-01c1897,AZURE,2026-05,1012.9,0.0,0,1494.12,AKS,Staging K8s cluster
Production-Secondary,vai-078b500,GCP,2026-05,225.3,0.0,0,1107.72,Vertex AI,AutoML jobs
ML-Training,i-0b05946,AWS,2026-05,536.4,0.0,0,1845.51,EC2,r5.2xlarge database server
Marketing-Platform,vai-0675764,GCP,2026-05,519.7,0.0,5891132,1151.7,Vertex AI,Model serving endpoints
Finance-Systems,app-0d8b965,AZURE,2026-05,804.3,0.0,0,121.2,App Service,Web app B1
Production-Main,cf-05be618,AWS,2026-05,0.0,0.0,51176724,248.43,CloudFront,CDN API distribution
Production-Secondary,ecs-0073512,AWS,2026-05,442.8,0.0,0,818.55,ECS,Fargate API cluster
Data-Science,gcs-0a7b183,GCP,2026-05,0.0,8709.2,217754,195.34,Cloud Storage,Backup bucket
Compliance-Audit,elb-0d8f759,AWS,2026-05,360.2,0.0,25108254,153.18,ELB,Network load balancer
Security-Ops,ecs-1053185,AWS,2026-05,451.1,0.0,0,825.93,ECS,Fargate worker cluster
Internal-Tools,rds-02c5855,AWS,2026-05,675.1,478.7,0,1714.83,RDS,db.r5.xlarge PostgreSQL primary
Marketing-Platform,r53-0b06291,AWS,2026-05,0.0,0.0,51789355,76.17,Route 53,DNS hosting
Edge-Network,csql-04c4474,GCP,2026-05,843.0,234.8,0,994.5,Cloud SQL,PostgreSQL replica
Data-Science,blob-06c1498,AZURE,2026-05,0.0,9330.1,92555,280.35,Blob Storage,Backup storage
Analytics-Platform,bq-0616922,GCP,2026-05,0.0,16238.7,0,6463.04,BigQuery,ML training datasets
Internal-Tools,gcs-08ae795,GCP,2026-05,0.0,1995.9,973023,298.33,Cloud Storage,Model artifacts
Analytics-Platform,eh-0c1e810,AZURE,2026-05,456.6,0.0,19791846,214.03,Event Hubs,Standard throughput units
QA-Testing,lam-1169721,AWS,2026-05,0.0,0.0,79099835,548.59,Lambda,Auth token validator
Shared-Services,func-0456674,AZURE,2026-05,0.0,0.0,424083,6.28,Azure Functions,Timer triggers
Data-Science,cr-0124770,GCP,2026-05,304.5,0.0,1261718,261.1,Cloud Run,Image processor
Analytics-Platform,gcs-067a623,GCP,2026-05,0.0,2388.2,2408479,168.78,Cloud Storage,Media assets bucket
Finance-Systems,cosmos-0527195,AZURE,2026-05,472.5,132.6,26190406,1058.37,Cosmos DB,User data store
Partner-Integration,app-03b2567,AZURE,2026-05,591.4,0.0,0,360.47,App Service,Web app P1v3
Compliance-Audit,elb-0385602,AWS,2026-05,747.1,0.0,30783633,219.88,ELB,Application load balancer
Finance-Systems,s3-0570229,AWS,2026-05,0.0,2321.7,1135876,84.39,S3,Analytics export bucket
DevOps-Central,aks-0f83666,AZURE,2026-05,382.7,0.0,0,568.45,AKS,Dev K8s cluster
QA-Testing,lam-0622244,AWS,2026-05,0.0,0.0,31646402,216.46,Lambda,API gateway handler
Production-Secondary,sentinel-118d311,AZURE,2026-05,0.0,0.0,60759547,1562.3,Microsoft Sentinel,SIEM detection
Customer-Portal,df-027d947,GCP,2026-05,615.8,0.0,0,1502.89,Dataflow,Streaming pipeline
Production-Main,kv-0426522,AZURE,2026-05,0.0,0.0,2223024,6.47,Key Vault,Secrets management
QA-Testing,lam-07f0573,AWS,2026-05,0.0,0.0,4691642,32.78,Lambda,Image resizer
Marketing-Platform,sm-01d7826,AWS,2026-05,0.0,0.0,886592,3.44,Secrets Manager,Application secrets
Edge-Network,ec-0e4b931,AWS,2026-05,749.1,0.0,0,543.18,ElastiCache,Redis production cluster
Marketing-Platform,rds-0d51613,AWS,2026-05,457.7,126.1,0,535.93,RDS,db.t3.medium MySQL staging
ML-Training,kin-0a76630,AWS,2026-05,696.1,0.0,28082469,407.83,Kinesis,Data stream ingestion
Security-Ops,eks-0191572,AWS,2026-05,475.5,0.0,0,1434.42,EKS,Staging K8s cluster
Shared-Services,vpn-0199240,AWS,2026-05,847.9,0.0,0,211.1,VPN Gateway,Client VPN endpoint
Mobile-Backend,sqldb-1045702,AZURE,2026-05,729.4,509.4,0,2927.78,SQL Database,Premium P1 analytics
Shared-Services,kv-0d17212,AZURE,2026-05,0.0,0.0,393558,1.16,Key Vault,Certificate store
Finance-Systems,s3-0555363,AWS,2026-05,0.0,65.0,31570400,204.1,S3,Static website hosting
Compliance-Audit,s3-0f76493,AWS,2026-05,0.0,772.5,1536165,66.26,S3,Artifact storage
Partner-Integration,vai-0eb9357,GCP,2026-05,561.3,0.0,0,2815.84,Vertex AI,Training pipelines
Internal-Tools,lam-100a745,AWS,2026-05,0.0,0.0,1067949,7.9,Lambda,Cron job runner
Marketing-Platform,ddb-0bef403,AWS,2026-05,572.6,7.7,3980439,68.06,DynamoDB,Config store table
Data-Science,gcs-043a104,GCP,2026-05,0.0,578.5,9396883,107.39,Cloud Storage,Temp processing bucket
Finance-Systems,vm-05c1838,AZURE,2026-05,721.0,0.0,0,1747.3,Virtual Machines,D8s v3 application server
Analytics-Platform,kv-05a4469,AZURE,2026-05,0.0,0.0,1444432,4.15,Key Vault,Secrets management
Security-Ops,ebs-0a88692,AWS,2026-05,0.0,4154.5,0,183.9,EBS,st1 volumes archive
Internal-Tools,cr-02e1655,GCP,2026-05,476.8,0.0,3974206,403.1,Cloud Run,Webhook handler
Marketing-Platform,vpn-04ea593,AWS,2026-05,769.6,0.0,0,198.4,VPN Gateway,Client VPN endpoint
IoT-Platform,mem-1148803,GCP,2026-05,783.2,0.0,0,572.78,Memorystore,Redis production cache
Partner-Integration,vai-1105921,GCP,2026-05,221.7,0.0,0,1083.96,Vertex AI,AutoML jobs
Finance-Systems,clog-0eff840,GCP,2026-05,0.0,202.8,0,49.4,Cloud Logging,Audit logs
