SubscriptionName,ResourceId,BillingMonth,Quantity_Compute,Quantity_Storage,Quantity_API,CostInBillingCurrency,ConsumedService,MeterName
Finance-Systems,blob-1044860,2026-06,0.0,8471.9,84716,254.15,Blob Storage,Backup storage
Finance-Systems,ado-0451264,2026-06,512.2,0.0,0,256.08,Azure DevOps,Pipelines hosted
Shared-Services,sb-0621661,2026-06,575.9,0.0,7999818,437.99,Service Bus,Premium messaging
Customer-Portal,func-081c995,2026-06,0.0,0.0,2888866,43.33,Azure Functions,Webhook processor
Customer-Portal,vm-0dcd189,2026-06,478.4,0.0,0,873.05,Virtual Machines,E4s v3 SIEM collector
DevOps-Central,cosmos-00ee239,2026-06,760.2,52.8,15836529,514.69,Cosmos DB,Config store
Finance-Systems,aks-0554673,2026-06,276.8,0.0,0,415.29,AKS,Dev K8s cluster
Internal-Tools,eh-097f635,2026-06,0.0,543.2,0,135.82,Event Hubs,Capture to storage
DR-Recovery,appi-0d8e996,2026-06,0.0,0.0,51571229,644.64,Application Insights,APM telemetry
Finance-Systems,redis-0211914,2026-06,786.5,0.0,0,956.89,Azure Cache for Redis,Premium P1 cache
Customer-Portal,eh-075a870,2026-06,735.3,0.0,30639575,335.5,Event Hubs,Standard throughput units
Production-Main,blob-086a814,2026-06,0.0,2416.1,6442804,314.09,Blob Storage,Build artifacts
Analytics-Platform,aks-09f1619,2026-06,1253.8,0.0,0,1880.76,AKS,Staging K8s cluster
Analytics-Platform,ado-0968389,2026-06,0.0,120.4,0,30.1,Azure DevOps,Artifacts storage
Customer-Portal,vm-0d19441,2026-06,536.2,0.0,0,326.17,Virtual Machines,D2s v3 utility server
Shared-Services,vm-0594419,2026-06,829.0,0.0,0,3025.99,Virtual Machines,E8s v3 memory-optimized
Mobile-Backend,sqldb-0e7e331,2026-06,763.7,530.3,0,3097.16,SQL Database,Premium P1 analytics
Production-Secondary,app-05e2432,2026-06,1136.9,0.0,0,691.56,App Service,Web app P1v3
Production-Main,blob-09bc732,2026-06,0.0,5938.3,2226874,315.47,Blob Storage,Data lake storage
Mobile-Backend,kv-0d0a877,2026-06,0.0,0.0,1612626,4.84,Key Vault,Secrets management
Production-Secondary,blob-04c0764,2026-06,0.0,2291.6,5729036,372.39,Blob Storage,Media content
Customer-Portal,vm-0ea1350,2026-06,613.9,0.0,0,373.43,Virtual Machines,D2s v3 utility server
Shared-Services,aks-01c1897,2026-06,1075.8,0.0,0,1613.66,AKS,Staging K8s cluster
Finance-Systems,app-0d8b965,2026-06,848.8,0.0,0,129.07,App Service,Web app B1
Data-Science,blob-06c1498,2026-06,0.0,9794.6,97945,293.84,Blob Storage,Backup storage
Analytics-Platform,eh-0c1e810,2026-06,490.7,0.0,20448701,223.91,Event Hubs,Standard throughput units
Shared-Services,func-0456674,2026-06,0.0,0.0,450610,6.76,Azure Functions,Timer triggers
Finance-Systems,cosmos-0527195,2026-06,490.4,136.2,27244114,1106.79,Cosmos DB,User data store
Partner-Integration,app-03b2567,2026-06,629.7,0.0,0,383.09,App Service,Web app P1v3
DevOps-Central,aks-0f83666,2026-06,402.3,0.0,0,603.37,AKS,Dev K8s cluster
Production-Secondary,sentinel-118d311,2026-06,0.0,0.0,65175934,1629.4,Microsoft Sentinel,SIEM detection
Production-Main,kv-0426522,2026-06,0.0,0.0,2316670,6.95,Key Vault,Secrets management
Mobile-Backend,sqldb-1045702,2026-06,765.2,531.4,0,3103.34,SQL Database,Premium P1 analytics
Shared-Services,kv-0d17212,2026-06,0.0,0.0,409421,1.23,Key Vault,Certificate store
Finance-Systems,vm-05c1838,2026-06,760.3,0.0,0,1849.82,Virtual Machines,D8s v3 application server
Analytics-Platform,kv-05a4469,2026-06,0.0,0.0,1504331,4.51,Key Vault,Secrets management
Internal-Tools,aks-08d9511,2026-06,1630.4,0.0,0,2445.52,AKS,Staging K8s cluster
Production-Secondary,eh-0d77234,2026-06,602.3,0.0,25096341,274.8,Event Hubs,Standard throughput units
Production-Secondary,blob-0cd7269,2026-06,0.0,7793.7,2922633,414.03,Blob Storage,Data lake storage
Partner-Integration,sqldb-0efb498,2026-06,863.1,299.7,0,1444.26,SQL Database,Standard S3 production
DevOps-Central,aks-0f5d284,2026-06,1783.3,0.0,0,2674.96,AKS,Staging K8s cluster
Internal-Tools,cosmos-02a3540,2026-06,725.9,201.6,40326241,1638.25,Cosmos DB,User data store
Internal-Tools,vm-029e595,2026-06,716.2,0.0,0,435.71,Virtual Machines,D2s v3 utility server
Production-Secondary,app-05df445,2026-06,961.5,0.0,0,584.9,App Service,Web app P1v3
Production-Secondary,blob-005d230,2026-06,0.0,2411.0,6429325,313.43,Blob Storage,Build artifacts
Production-Secondary,aks-0b9c491,2026-06,318.3,0.0,0,477.63,AKS,Dev K8s cluster
Partner-Integration,sqldb-0e96563,2026-06,1184.3,411.2,0,1981.69,SQL Database,Standard S3 production
Partner-Integration,appi-07a4515,2026-06,0.0,0.0,74840663,935.51,Application Insights,APM telemetry
Shared-Services,vm-08aa601,2026-06,347.6,0.0,0,3171.51,Virtual Machines,NC6s v3 GPU VM
DR-Recovery,appi-048f749,2026-06,0.0,0.0,20537638,256.72,Application Insights,Custom metrics
Production-Main,vm-048d646,2026-06,826.2,0.0,0,2010.38,Virtual Machines,D8s v3 application server
Shared-Services,sb-1037505,2026-06,666.8,0.0,9261308,507.05,Service Bus,Premium messaging
DevOps-Central,vm-0691282,2026-06,714.9,0.0,0,217.46,Virtual Machines,B2s development VM
DevOps-Central,sb-0e4e903,2026-06,737.1,0.0,10238265,560.55,Service Bus,Premium messaging
Internal-Tools,eh-06f5432,2026-06,0.0,502.2,0,125.57,Event Hubs,Capture to storage
Finance-Systems,redis-1119805,2026-06,766.1,0.0,0,388.33,Azure Cache for Redis,Standard C2 cache
Finance-Systems,blob-0d4a811,2026-06,0.0,9896.6,98963,296.89,Blob Storage,Backup storage
DevOps-Central,appi-0fd7806,2026-06,0.0,0.0,18213416,227.68,Application Insights,Custom metrics
Production-Secondary,sentinel-0e21747,2026-06,0.0,0.0,76468980,1911.72,Microsoft Sentinel,SIEM detection
Partner-Integration,sb-03aa861,2026-06,0.0,0.0,15881397,39.7,Service Bus,Standard messaging
DR-Recovery,sb-02f7507,2026-06,905.0,0.0,12569745,688.19,Service Bus,Premium messaging
Analytics-Platform,ado-00c7802,2026-06,0.0,110.4,0,27.6,Azure DevOps,Artifacts storage
Finance-Systems,azmon-0218730,2026-06,0.0,238.8,31843642,338.34,Azure Monitor,Logs and metrics
Mobile-Backend,aks-0338186,2026-06,995.2,0.0,0,4478.29,AKS,Production K8s cluster
Production-Secondary,sentinel-075c368,2026-06,0.0,0.0,76853078,1921.33,Microsoft Sentinel,SIEM detection
Customer-Portal,azmon-0250396,2026-06,0.0,239.4,31923796,339.19,Azure Monitor,Logs and metrics
Mobile-Backend,acr-07fd235,2026-06,0.0,229.5,458978,151.46,Container Registry,Docker image registry
Production-Main,blob-0590204,2026-06,0.0,2545.2,6787271,330.88,Blob Storage,Build artifacts
Production-Main,kv-0024951,2026-06,0.0,0.0,2630210,7.89,Key Vault,Secrets management
Partner-Integration,redis-0b29754,2026-06,515.7,0.0,0,627.48,Azure Cache for Redis,Premium P1 cache
Partner-Integration,ado-0439616,2026-06,639.6,0.0,0,319.83,Azure DevOps,Pipelines hosted
Production-Main,vm-003d976,2026-06,911.2,0.0,0,1663.02,Virtual Machines,E4s v3 SIEM collector
Analytics-Platform,aks-09e9857,2026-06,545.2,0.0,0,817.81,AKS,Dev K8s cluster
Production-Secondary,app-0466740,2026-06,990.8,0.0,0,602.7,App Service,Web app P1v3
Shared-Services,ado-0fb4902,2026-06,0.0,97.0,0,24.23,Azure DevOps,Artifacts storage
DevOps-Central,redis-04b6472,2026-06,765.3,0.0,0,931.16,Azure Cache for Redis,Premium P1 cache
Production-Main,eh-0b35787,2026-06,0.0,648.3,0,162.08,Event Hubs,Capture to storage
Security-Ops,vm-1185620,2026-06,584.7,0.0,0,2134.15,Virtual Machines,E8s v3 memory-optimized
Partner-Integration,eh-03b1952,2026-06,601.2,0.0,25048032,274.28,Event Hubs,Standard throughput units
Analytics-Platform,kv-0e9a441,2026-06,0.0,0.0,1414582,4.24,Key Vault,Secrets management
DR-Recovery,sqldb-0cf9280,2026-06,1031.1,716.0,0,4181.73,SQL Database,Premium P1 analytics
Production-Secondary,sqldb-1181399,2026-06,399.2,138.7,0,668.09,SQL Database,Standard S3 production
Customer-Portal,app-0d4f996,2026-06,759.3,0.0,0,923.86,App Service,API app P2v3
Production-Main,vm-088a832,2026-06,781.0,0.0,0,2850.6,Virtual Machines,E8s v3 memory-optimized
Security-Ops,sqldb-015d279,2026-06,880.5,61.1,0,183.0,SQL Database,Basic dev database
DevOps-Central,sb-1051676,2026-06,708.3,0.0,9838424,538.66,Service Bus,Premium messaging
Customer-Portal,vm-0832652,2026-06,895.5,0.0,0,272.37,Virtual Machines,B2s development VM
Finance-Systems,blob-0ec5692,2026-06,0.0,2279.2,5698026,370.37,Blob Storage,Media content
Production-Main,vm-0639386,2026-06,1098.5,0.0,0,1559.84,Virtual Machines,F4s v2 compute node
Mobile-Backend,vm-1113710,2026-06,734.0,0.0,0,1042.26,Virtual Machines,F4s v2 compute node
Production-Secondary,sqldb-112c524,2026-06,513.9,178.5,0,859.89,SQL Database,Standard S3 production
Mobile-Backend,vm-0345320,2026-06,808.1,0.0,0,491.57,Virtual Machines,D2s v3 utility server
DevOps-Central,blob-0817476,2026-06,0.0,8471.3,3176731,450.03,Blob Storage,Data lake storage
Finance-Systems,cosmos-0aff500,2026-06,611.8,169.8,33984057,1380.6,Cosmos DB,User data store
DevOps-Central,appi-0b7d877,2026-06,0.0,0.0,16836073,210.46,Application Insights,Custom metrics
DevOps-Central,appi-1005985,2026-06,0.0,0.0,67627267,845.33,Application Insights,APM telemetry
Shared-Services,cosmos-0b23168,2026-06,655.0,90.9,22743624,852.89,Cosmos DB,Event store
DR-Recovery,cosmos-08fe192,2026-06,856.7,238.0,47594054,1933.5,Cosmos DB,User data store
Shared-Services,cosmos-0921628,2026-06,514.5,71.4,17865871,669.97,Cosmos DB,Event store
DR-Recovery,cosmos-0ee2607,2026-06,918.5,255.2,51026881,2072.96,Cosmos DB,User data store
Data-Science,blob-07d6144,2026-06,0.0,10778.1,107780,323.34,Blob Storage,Backup storage
Partner-Integration,azmon-0695468,2026-06,0.0,287.8,38382838,407.82,Azure Monitor,Logs and metrics
DevOps-Central,appi-09ca610,2026-06,0.0,0.0,60158217,751.97,Application Insights,APM telemetry
Data-Science,aks-014f990,2026-06,507.1,0.0,0,2281.85,AKS,Production K8s cluster
Data-Science,aks-102c324,2026-06,272.0,0.0,0,408.09,AKS,Dev K8s cluster
DevOps-Central,vm-0fd0689,2026-06,729.6,0.0,0,221.91,Virtual Machines,B2s development VM
Production-Main,kv-0a38604,2026-06,0.0,0.0,2641398,7.92,Key Vault,Secrets management
Internal-Tools,redis-044a879,2026-06,636.2,0.0,0,322.53,Azure Cache for Redis,Standard C2 cache
Finance-Systems,sb-0ea2541,2026-06,0.0,0.0,27568790,68.92,Service Bus,Standard messaging
Internal-Tools,aks-09b3389,2026-06,1669.7,0.0,0,2504.56,AKS,Staging K8s cluster
Customer-Portal,azmon-0faa173,2026-06,0.0,221.4,29522065,313.68,Azure Monitor,Logs and metrics
Production-Secondary,sqldb-006d367,2026-06,562.1,39.0,0,116.83,SQL Database,Basic dev database
Shared-Services,eh-01b3861,2026-06,952.3,0.0,39679216,434.49,Event Hubs,Standard throughput units
Customer-Portal,sqldb-0262859,2026-06,976.3,339.0,0,1633.72,SQL Database,Standard S3 production
Finance-Systems,aks-0215831,2026-06,1297.9,0.0,0,1946.9,AKS,Staging K8s cluster
Analytics-Platform,ado-0ed0672,2026-06,0.0,106.6,0,26.66,Azure DevOps,Artifacts storage
DR-Recovery,appi-0da9194,2026-06,0.0,0.0,22343693,279.3,Application Insights,Custom metrics
Production-Main,aks-0bc0816,2026-06,1302.1,0.0,0,1953.13,AKS,Staging K8s cluster
Mobile-Backend,fd-06fe344,2026-06,0.0,0.0,43203825,324.03,Front Door,Global load balancer
Customer-Portal,cosmos-04b5613,2026-06,682.5,47.4,14218716,462.11,Cosmos DB,Config store
Finance-Systems,sb-0abe213,2026-06,0.0,0.0,26216858,65.54,Service Bus,Standard messaging
Shared-Services,vm-01ba554,2026-06,392.0,0.0,0,3576.93,Virtual Machines,NC6s v3 GPU VM
Production-Secondary,app-0909121,2026-06,1246.5,0.0,0,758.23,App Service,Web app P1v3
Analytics-Platform,ado-00c6175,2026-06,470.6,0.0,0,235.32,Azure DevOps,Pipelines hosted
Finance-Systems,blob-0ae8718,2026-06,0.0,7260.1,72599,217.8,Blob Storage,Backup storage
Security-Ops,vm-015e672,2026-06,620.0,0.0,0,377.15,Virtual Machines,D2s v3 utility server
Data-Science,fd-078a255,2026-06,0.0,0.0,36279537,272.1,Front Door,Global load balancer
Customer-Portal,cosmos-0835427,2026-06,869.7,60.3,18118914,588.87,Cosmos DB,Config store
Production-Secondary,blob-0fbd152,2026-06,0.0,14786.4,36965,118.29,Blob Storage,Archive tier
Customer-Portal,blob-0839846,2026-06,0.0,5959.9,0,595.99,Blob Storage,Security audit logs
Production-Main,aks-0aa2773,2026-06,588.5,0.0,0,2648.36,AKS,Production K8s cluster
Production-Main,aks-0eb0801,2026-06,484.3,0.0,0,726.45,AKS,Dev K8s cluster
Customer-Portal,ado-0910502,2026-06,0.0,107.2,0,26.8,Azure DevOps,Artifacts storage
Shared-Services,ado-07b2307,2026-06,490.3,0.0,0,245.11,Azure DevOps,Pipelines hosted
Production-Main,cosmos-0ceb324,2026-06,947.2,263.1,52623551,2137.83,Cosmos DB,User data store
DR-Recovery,appi-1178561,2026-06,0.0,0.0,16674459,208.43,Application Insights,Custom metrics
Internal-Tools,blob-0298842,2026-06,0.0,3736.3,9963346,485.71,Blob Storage,Build artifacts
Analytics-Platform,kv-09a4625,2026-06,0.0,0.0,553404,1.66,Key Vault,Certificate store
Production-Secondary,redis-1191966,2026-06,1035.7,0.0,0,525.0,Azure Cache for Redis,Standard C2 cache
Production-Secondary,sentinel-0a95436,2026-06,0.0,0.0,70669300,1766.73,Microsoft Sentinel,SIEM detection
Production-Secondary,acr-0834611,2026-06,0.0,215.4,430686,142.13,Container Registry,Docker image registry
Production-Secondary,blob-1149645,2026-06,0.0,2532.7,6331693,411.56,Blob Storage,Media content
DevOps-Central,blob-0fb6133,2026-06,0.0,5018.8,0,501.88,Blob Storage,Security audit logs
Shared-Services,func-106b269,2026-06,0.0,0.0,8881464,133.22,Azure Functions,API handlers
DevOps-Central,vm-0a85632,2026-06,648.6,0.0,0,5918.51,Virtual Machines,NC6s v3 GPU VM
Mobile-Backend,fd-0587882,2026-06,0.0,0.0,42102932,315.77,Front Door,Global load balancer
Production-Secondary,sqldb-0dda483,2026-06,448.6,155.9,0,750.78,SQL Database,Standard S3 production
Shared-Services,fd-01b4291,2026-06,0.0,0.0,56239538,421.8,Front Door,Global load balancer
Internal-Tools,sentinel-02a1505,2026-06,0.0,0.0,35236857,880.92,Microsoft Sentinel,Log analytics
Production-Secondary,kv-0065440,2026-06,0.0,0.0,2431190,7.29,Key Vault,Secrets management
DR-Recovery,cosmos-0867713,2026-06,925.6,257.1,51422878,2089.05,Cosmos DB,User data store
Shared-Services,vm-05d6199,2026-06,446.2,0.0,0,4071.18,Virtual Machines,NC6s v3 GPU VM
Internal-Tools,aks-0296711,2026-06,783.3,0.0,0,3524.97,AKS,Production K8s cluster
Production-Secondary,acr-1133427,2026-06,0.0,211.3,422491,139.43,Container Registry,Docker image registry
Production-Secondary,blob-087f580,2026-06,0.0,7018.7,2632002,372.86,Blob Storage,Data lake storage
Shared-Services,kv-0957987,2026-06,0.0,0.0,453011,1.36,Key Vault,Certificate store
Production-Main,vm-0b41296,2026-06,467.4,0.0,0,4265.29,Virtual Machines,NC6s v3 GPU VM
Partner-Integration,redis-06f8389,2026-06,838.2,0.0,0,1019.81,Azure Cache for Redis,Premium P1 cache
DR-Recovery,sqldb-0803479,2026-06,1023.8,711.0,0,4152.23,SQL Database,Premium P1 analytics
Production-Secondary,acr-07ad940,2026-06,0.0,248.6,497206,164.08,Container Registry,Docker image registry
Analytics-Platform,eh-0806403,2026-06,627.5,0.0,26146679,286.31,Event Hubs,Standard throughput units
Finance-Systems,acr-0224993,2026-06,0.0,338.9,677813,223.68,Container Registry,Docker image registry
Production-Main,aks-0f57337,2026-06,420.1,0.0,0,630.11,AKS,Dev K8s cluster
Shared-Services,vm-01b8556,2026-06,653.0,0.0,0,1588.97,Virtual Machines,D8s v3 application server
Shared-Services,sb-08e5943,2026-06,481.3,0.0,6685350,366.02,Service Bus,Premium messaging
Data-Science,blob-04b8243,2026-06,0.0,10330.4,103303,309.91,Blob Storage,Backup storage
Customer-Portal,func-0e55523,2026-06,0.0,0.0,2864000,42.96,Azure Functions,Webhook processor
DevOps-Central,azmon-00e3878,2026-06,0.0,341.3,45511444,483.56,Azure Monitor,Logs and metrics
DevOps-Central,aks-041e972,2026-06,394.7,0.0,0,592.08,AKS,Dev K8s cluster
Production-Main,blob-0c25669,2026-06,0.0,2533.1,6754979,329.31,Blob Storage,Build artifacts
Production-Secondary,eh-0450304,2026-06,677.6,0.0,28233615,309.15,Event Hubs,Standard throughput units
DevOps-Central,app-00ea379,2026-06,760.5,0.0,0,462.62,App Service,Web app P1v3
Internal-Tools,blob-1187759,2026-06,0.0,13936.0,139359,418.08,Blob Storage,Backup storage
Production-Main,blob-1077331,2026-06,0.0,3080.6,8214841,400.48,Blob Storage,Build artifacts
Shared-Services,ado-0b61138,2026-06,0.0,78.4,0,19.6,Azure DevOps,Artifacts storage
Customer-Portal,vm-025b762,2026-06,606.5,0.0,0,368.94,Virtual Machines,D2s v3 utility server
Production-Secondary,app-0fb2316,2026-06,807.4,0.0,0,491.17,App Service,Web app P1v3
Shared-Services,func-0509892,2026-06,0.0,0.0,8662519,129.94,Azure Functions,API handlers
Production-Secondary,eh-0ed1531,2026-06,733.2,0.0,30548315,334.5,Event Hubs,Standard throughput units
Production-Secondary,sb-0550807,2026-06,0.0,0.0,22625766,56.56,Service Bus,Standard messaging
Finance-Systems,func-021d261,2026-06,0.0,0.0,4153612,62.3,Azure Functions,Webhook processor
Finance-Systems,appi-0ada402,2026-06,0.0,0.0,16672421,208.41,Application Insights,Custom metrics
Production-Secondary,blob-08d0486,2026-06,0.0,12395.8,123957,371.87,Blob Storage,Backup storage
Production-Secondary,blob-1102786,2026-06,0.0,14525.0,36312,116.19,Blob Storage,Archive tier
Finance-Systems,func-0b2d239,2026-06,0.0,0.0,4924977,73.88,Azure Functions,API handlers
Shared-Services,func-0fb3832,2026-06,0.0,0.0,3325927,49.9,Azure Functions,Webhook processor
Data-Science,blob-0ff1848,2026-06,0.0,2559.0,6823970,332.66,Blob Storage,Build artifacts
Production-Main,blob-0f7c723,2026-06,0.0,2879.0,7677538,374.28,Blob Storage,Build artifacts
Shared-Services,eh-04b1664,2026-06,1068.4,0.0,44515758,487.45,Event Hubs,Standard throughput units
Customer-Portal,blob-0671523,2026-06,0.0,4795.3,0,479.53,Blob Storage,Security audit logs
Analytics-Platform,aks-06ee815,2026-06,505.1,0.0,0,757.75,AKS,Dev K8s cluster
Production-Secondary,blob-005f915,2026-06,0.0,2658.6,6646435,432.02,Blob Storage,Media content
Mobile-Backend,azmon-0a21733,2026-06,0.0,262.8,35037626,372.27,Azure Monitor,Logs and metrics
Finance-Systems,blob-083a215,2026-06,0.0,6773.3,67731,203.2,Blob Storage,Backup storage
Customer-Portal,app-09dd159,2026-06,741.6,0.0,0,451.15,App Service,Web app P1v3
Analytics-Platform,ado-0761752,2026-06,0.0,124.2,0,31.06,Azure DevOps,Artifacts storage
DevOps-Central,appi-056d259,2026-06,0.0,0.0,61417105,767.71,Application Insights,APM telemetry
DevOps-Central,vm-10f1723,2026-06,690.8,0.0,0,1260.68,Virtual Machines,E4s v3 SIEM collector
DevOps-Central,appi-0804101,2026-06,0.0,0.0,74080230,926.0,Application Insights,APM telemetry
Partner-Integration,appi-07e3482,2026-06,0.0,0.0,49706805,621.33,Application Insights,APM telemetry
Production-Main,eh-0bb2869,2026-06,0.0,591.7,0,147.93,Event Hubs,Capture to storage
Analytics-Platform,aks-00bf283,2026-06,618.7,0.0,0,2783.93,AKS,Production K8s cluster
Mobile-Backend,sqldb-0883304,2026-06,867.5,602.4,0,3518.26,SQL Database,Premium P1 analytics
Internal-Tools,aks-06b0216,2026-06,1739.8,0.0,0,2609.8,AKS,Staging K8s cluster
Internal-Tools,aks-0f22641,2026-06,1578.9,0.0,0,2368.44,AKS,Staging K8s cluster
Production-Main,aks-0022100,2026-06,484.5,0.0,0,726.68,AKS,Dev K8s cluster
Shared-Services,appi-0dfe368,2026-06,0.0,0.0,39571431,494.64,Application Insights,APM telemetry
Mobile-Backend,vm-09bb165,2026-06,709.1,0.0,0,1006.92,Virtual Machines,F4s v2 compute node
Customer-Portal,fd-0251891,2026-06,0.0,0.0,66253942,496.9,Front Door,Global load balancer
Data-Science,cosmos-09e8442,2026-06,613.7,170.5,34096746,1385.18,Cosmos DB,User data store
Customer-Portal,blob-0eb1253,2026-06,0.0,5413.1,0,541.31,Blob Storage,Security audit logs
DevOps-Central,sqldb-0a8e401,2026-06,650.0,225.6,0,1087.58,SQL Database,Standard S3 production
Finance-Systems,aks-102f898,2026-06,279.8,0.0,0,419.78,AKS,Dev K8s cluster
Partner-Integration,azmon-0a59651,2026-06,0.0,238.0,31732602,337.17,Azure Monitor,Logs and metrics
Analytics-Platform,kv-10e4289,2026-06,0.0,0.0,521449,1.56,Key Vault,Certificate store
Shared-Services,func-09a1968,2026-06,0.0,0.0,10907892,163.62,Azure Functions,API handlers
Customer-Portal,blob-0259159,2026-06,0.0,2528.1,6320216,410.81,Blob Storage,Media content
Production-Main,vm-003c553,2026-06,969.3,0.0,0,1376.44,Virtual Machines,F4s v2 compute node
Shared-Services,sb-05c7144,2026-06,561.2,0.0,7795644,426.81,Service Bus,Premium messaging
Production-Main,eh-0025680,2026-06,625.4,0.0,26058303,285.34,Event Hubs,Standard throughput units
DevOps-Central,sb-00d7881,2026-06,794.4,0.0,11033728,604.1,Service Bus,Premium messaging
Analytics-Platform,eh-0c57869,2026-06,0.0,373.6,0,93.39,Event Hubs,Capture to storage
Partner-Integration,sb-05dd537,2026-06,771.5,0.0,10715609,586.68,Service Bus,Premium messaging
Shared-Services,sb-0dc4566,2026-06,550.2,0.0,7642101,418.4,Service Bus,Premium messaging
DevOps-Central,aks-0cf1749,2026-06,438.5,0.0,0,657.81,AKS,Dev K8s cluster
Analytics-Platform,eh-0479891,2026-06,0.0,373.1,0,93.29,Event Hubs,Capture to storage
Partner-Integration,appi-064d380,2026-06,0.0,0.0,70187012,877.34,Application Insights,APM telemetry
Data-Science,kv-015a390,2026-06,0.0,0.0,500469,1.5,Key Vault,Certificate store
Mobile-Backend,azmon-0bba725,2026-06,0.0,322.3,42974356,456.6,Azure Monitor,Logs and metrics
Finance-Systems,aks-0922802,2026-06,319.0,0.0,0,478.48,AKS,Dev K8s cluster
Mobile-Backend,fd-095e352,2026-06,0.0,0.0,56009965,420.07,Front Door,Global load balancer
DevOps-Central,sentinel-00e5745,2026-06,0.0,0.0,39249912,981.25,Microsoft Sentinel,Log analytics
Analytics-Platform,eh-04e3729,2026-06,570.1,0.0,23756709,260.14,Event Hubs,Standard throughput units
DevOps-Central,redis-0fc2470,2026-06,789.9,0.0,0,961.03,Azure Cache for Redis,Premium P1 cache
Customer-Portal,vm-05b7601,2026-06,614.3,0.0,0,373.67,Virtual Machines,D2s v3 utility server
DevOps-Central,sentinel-0905483,2026-06,0.0,0.0,39136384,978.41,Microsoft Sentinel,Log analytics
DevOps-Central,kv-0c74453,2026-06,0.0,0.0,2673315,8.02,Key Vault,Secrets management
Production-Secondary,cosmos-0ad3510,2026-06,544.0,75.6,18887803,708.29,Cosmos DB,Event store
Production-Main,redis-0042268,2026-06,958.8,0.0,0,1166.58,Azure Cache for Redis,Premium P1 cache
