lineItem/UsageAccountId,lineItem/ResourceId,bill/BillingPeriodStartDate,lineItem/UsageAmount_ComputeHours,lineItem/UsageAmount_StorageGB,lineItem/UsageAmount_APIRequests,lineItem/UnblendedCost,product/ProductName,lineItem/LineItemDescription
ML-Training,i-0dad813,2026-06,618.1,0.0,0,2143.01,EC2,r5.2xlarge database server
Marketing-Platform,sm-0a3a425,2026-06,0.0,0.0,861779,3.44,Secrets Manager,Application secrets
Compliance-Audit,kin-083d194,2026-06,674.8,0.0,28114218,410.47,Kinesis,Data stream ingestion
Partner-Integration,eks-03c5402,2026-06,754.7,0.0,0,2264.03,EKS,Production K8s cluster
Edge-Network,lam-0e35921,2026-06,0.0,0.0,19969750,139.79,Lambda,Data transformer
Marketing-Platform,sm-0d30645,2026-06,0.0,0.0,1065839,4.26,Secrets Manager,Application secrets
Marketing-Platform,sm-0e7c136,2026-06,0.0,0.0,801742,3.2,Secrets Manager,Application secrets
Partner-Integration,elb-0bd4274,2026-06,611.0,0.0,8486030,123.55,ELB,Classic load balancer
Internal-Tools,rs-02b6574,2026-06,0.0,0.0,4809418,240.47,Redshift,Spectrum queries
Data-Science,rs-0146862,2026-06,721.7,2004.6,0,3658.44,Redshift,Data warehouse cluster
ML-Training,lam-055d746,2026-06,0.0,0.0,10368353,72.58,Lambda,Notification dispatcher
Security-Ops,lam-09fe233,2026-06,0.0,0.0,24346433,170.42,Lambda,Data transformer
Compliance-Audit,i-1029425,2026-06,600.4,0.0,0,520.39,EC2,m5.large monitoring server
Edge-Network,vpn-0c9e800,2026-06,489.8,0.0,0,124.16,VPN Gateway,Client VPN endpoint
Production-Main,r53-0c16894,2026-06,0.0,0.0,15518487,23.29,Route 53,Health checks
Edge-Network,i-06ce887,2026-06,746.4,0.0,0,2587.58,EC2,r5.2xlarge database server
Production-Main,i-0d80610,2026-06,452.4,0.0,0,1312.29,EC2,c5.2xlarge HPC node
ML-Training,i-0b25477,2026-06,558.9,0.0,0,1937.84,EC2,r5.2xlarge database server
Partner-Integration,rds-03c8753,2026-06,425.0,118.0,0,501.68,RDS,db.t3.medium MySQL staging
Marketing-Platform,r53-01dd837,2026-06,0.0,0.0,58055650,87.08,Route 53,DNS hosting
Marketing-Platform,i-01e7981,2026-06,582.7,0.0,0,1689.8,EC2,c5.2xlarge HPC node
QA-Testing,ec-1136274,2026-06,829.1,0.0,0,596.95,ElastiCache,Redis production cluster
Security-Ops,ses-09f7782,2026-06,0.0,0.0,2446103,2.93,SES,Transactional email
Security-Ops,s3-08db379,2026-06,0.0,51.2,25596104,166.37,S3,Static website hosting
Partner-Integration,ses-03cb400,2026-06,0.0,0.0,2181547,2.62,SES,Transactional email
ML-Training,lam-0c34400,2026-06,0.0,0.0,10113502,70.79,Lambda,Notification dispatcher
Internal-Tools,elb-08c2704,2026-06,995.3,0.0,13824402,201.28,ELB,Classic load balancer
Compliance-Audit,ecs-0d1c714,2026-06,487.6,0.0,0,889.93,ECS,Fargate worker cluster
Production-Main,i-1108283,2026-06,325.7,0.0,0,944.4,EC2,c5.2xlarge HPC node
Compliance-Audit,s3-0c95132,2026-06,0.0,743.3,1486643,65.05,S3,Artifact storage
Edge-Network,ebs-09ad548,2026-06,0.0,740.4,0,92.55,EBS,gp3 volumes production
Production-Main,i-000d373,2026-06,406.4,0.0,0,1178.54,EC2,c5.2xlarge HPC node
Compliance-Audit,s3-0667496,2026-06,0.0,12116.0,2423192,424.05,S3,Data lake raw zone
Mobile-Backend,ec-032e628,2026-06,616.5,0.0,0,443.87,ElastiCache,Redis production cluster
Partner-Integration,r53-060c599,2026-06,0.0,0.0,66343332,99.52,Route 53,DNS hosting
Internal-Tools,s3-0e43727,2026-06,0.0,3781.0,6049529,276.01,S3,Media content bucket
Security-Ops,ecs-0499787,2026-06,438.9,0.0,0,801.09,ECS,Fargate worker cluster
Production-Secondary,s3-0075793,2026-06,0.0,67.9,33956364,220.72,S3,Static website hosting
Security-Ops,sqs-0195828,2026-06,0.0,0.0,40620164,20.31,SQS,Event notification queue
Security-Ops,ebs-08c0486,2026-06,0.0,724.8,0,453.04,EBS,io2 volumes database
Production-Main,cf-0a4b960,2026-06,0.0,0.0,59730456,298.65,CloudFront,CDN API distribution
QA-Testing,elb-03e9138,2026-06,831.9,0.0,57768913,360.48,ELB,Network load balancer
Marketing-Platform,sm-10db510,2026-06,0.0,0.0,1198855,4.79,Secrets Manager,Application secrets
Data-Science,ses-0e41871,2026-06,0.0,0.0,2181407,2.62,SES,Transactional email
Production-Main,rds-0005467,2026-06,695.5,483.0,0,1787.01,RDS,db.r5.xlarge PostgreSQL primary
QA-Testing,ebs-0cff760,2026-06,0.0,1166.8,0,145.86,EBS,gp3 volumes production
Production-Secondary,elb-0fed620,2026-06,575.8,0.0,39985023,249.51,ELB,Network load balancer
ML-Training,ebs-0b54889,2026-06,0.0,4594.2,0,206.74,EBS,st1 volumes archive
Partner-Integration,sm-03d6254,2026-06,0.0,0.0,1309594,5.24,Secrets Manager,Application secrets
Security-Ops,s3-09e0838,2026-06,0.0,56.9,28464503,185.01,S3,Static website hosting
Edge-Network,ebs-0907384,2026-06,0.0,415.2,0,259.53,EBS,io2 volumes database
ML-Training,sqs-0365439,2026-06,0.0,0.0,517296,0.26,SQS,Dead letter queue
Partner-Integration,eks-03c4771,2026-06,433.8,0.0,0,1301.29,EKS,Staging K8s cluster
Compliance-Audit,ses-0ad0283,2026-06,0.0,0.0,1815767,2.18,SES,Transactional email
Shared-Services,rds-0c30227,2026-06,485.7,337.2,0,961.06,RDS,db.r5.large PostgreSQL replica
Customer-Portal,ses-0bde451,2026-06,0.0,0.0,685355,0.83,SES,Marketing email
Compliance-Audit,rds-055c490,2026-06,1106.5,768.4,0,2189.9,RDS,db.r5.large PostgreSQL replica
Data-Science,kin-0141333,2026-06,731.6,0.0,20321768,296.7,Kinesis,Firehose delivery
Security-Ops,sqs-0acf483,2026-06,0.0,0.0,45866078,22.94,SQS,Event notification queue
Marketing-Platform,sm-0c60824,2026-06,0.0,0.0,984453,3.93,Secrets Manager,Application secrets
Edge-Network,eks-0c0a109,2026-06,608.1,0.0,0,1824.21,EKS,Production K8s cluster
ML-Training,i-0b05946,2026-06,569.6,0.0,0,1974.84,EC2,r5.2xlarge database server
Production-Main,cf-05be618,2026-06,0.0,0.0,53323012,266.61,CloudFront,CDN API distribution
Production-Secondary,ecs-0073512,2026-06,473.2,0.0,0,863.63,ECS,Fargate API cluster
Compliance-Audit,elb-0d8f759,2026-06,383.8,0.0,26650852,166.3,ELB,Network load balancer
Security-Ops,ecs-1053185,2026-06,479.7,0.0,0,875.51,ECS,Fargate worker cluster
Internal-Tools,rds-02c5855,2026-06,703.4,488.5,0,1807.28,RDS,db.r5.xlarge PostgreSQL primary
Marketing-Platform,r53-0b06291,2026-06,0.0,0.0,54244551,81.36,Route 53,DNS hosting
QA-Testing,lam-1169721,2026-06,0.0,0.0,83936925,587.55,Lambda,Auth token validator
Compliance-Audit,elb-0385602,2026-06,781.0,0.0,32542915,236.91,ELB,Application load balancer
Finance-Systems,s3-0570229,2026-06,0.0,2435.7,1217853,91.34,S3,Analytics export bucket
QA-Testing,lam-0622244,2026-06,0.0,0.0,32797441,227.94,Lambda,API gateway handler
QA-Testing,lam-07f0573,2026-06,0.0,0.0,4907410,34.59,Lambda,Image resizer
Marketing-Platform,sm-01d7826,2026-06,0.0,0.0,925862,3.7,Secrets Manager,Application secrets
Edge-Network,ec-0e4b931,2026-06,804.1,0.0,0,578.93,ElastiCache,Redis production cluster
Marketing-Platform,rds-0d51613,2026-06,480.7,133.6,0,567.5,RDS,db.t3.medium MySQL staging
ML-Training,kin-0a76630,2026-06,722.7,0.0,30113739,439.66,Kinesis,Data stream ingestion
Security-Ops,eks-0191572,2026-06,500.1,0.0,0,1500.24,EKS,Staging K8s cluster
Shared-Services,vpn-0199240,2026-06,902.9,0.0,0,228.85,VPN Gateway,Client VPN endpoint
Finance-Systems,s3-0555363,2026-06,0.0,67.3,33662274,218.81,S3,Static website hosting
Compliance-Audit,s3-0f76493,2026-06,0.0,818.9,1637885,71.66,S3,Artifact storage
Internal-Tools,lam-100a745,2026-06,0.0,0.0,1120885,8.41,Lambda,Cron job runner
Marketing-Platform,ddb-0bef403,2026-06,593.7,8.2,4122839,72.15,DynamoDB,Config store table
Security-Ops,ebs-0a88692,2026-06,0.0,4328.9,0,194.8,EBS,st1 volumes archive
Marketing-Platform,vpn-04ea593,2026-06,817.0,0.0,0,207.09,VPN Gateway,Client VPN endpoint
Production-Main,s3-057d934,2026-06,0.0,8931.8,558236,223.29,S3,Log archive bucket
Compliance-Audit,rs-10fb531,2026-06,0.0,0.0,4908651,245.43,Redshift,Spectrum queries
Internal-Tools,cf-0a39494,2026-06,0.0,0.0,144100042,720.49,CloudFront,CDN media distribution
Compliance-Audit,ecs-06db379,2026-06,483.2,0.0,0,881.87,ECS,Fargate worker cluster
Internal-Tools,ebs-02a9257,2026-06,0.0,438.4,0,274.02,EBS,io2 volumes database
Compliance-Audit,vpn-0a64605,2026-06,759.8,0.0,0,192.6,VPN Gateway,Client VPN endpoint
ML-Training,rs-0788768,2026-06,0.0,0.0,4378524,218.93,Redshift,Spectrum queries
Finance-Systems,elb-0e1e935,2026-06,808.7,0.0,33693937,245.3,ELB,Application load balancer
Customer-Portal,elb-0287653,2026-06,700.1,0.0,9724096,141.58,ELB,Classic load balancer
ML-Training,i-0bdb603,2026-06,789.0,0.0,0,2735.17,EC2,r5.2xlarge database server
QA-Testing,r53-085b883,2026-06,0.0,0.0,9579051,14.37,Route 53,Health checks
Customer-Portal,i-0ae1467,2026-06,667.8,0.0,0,2314.85,EC2,r5.2xlarge database server
Production-Secondary,i-007b774,2026-06,874.9,0.0,0,758.27,EC2,m5.large monitoring server
Production-Secondary,ec-0bb0589,2026-06,923.1,0.0,0,332.34,ElastiCache,Redis staging cluster
Marketing-Platform,rs-0f0b689,2026-06,0.0,0.0,7419631,370.98,Redshift,Spectrum queries
Production-Main,lam-000a777,2026-06,0.0,0.0,5989508,41.93,Lambda,Notification dispatcher
QA-Testing,ses-0411794,2026-06,0.0,0.0,2342010,2.81,SES,Transactional email
Compliance-Audit,sns-0987286,2026-06,0.0,0.0,15802199,7.9,SNS,Event fanout topic
Customer-Portal,vpn-09b8118,2026-06,1072.9,0.0,0,271.95,VPN Gateway,Client VPN endpoint
Internal-Tools,nat-0ba5290,2026-06,519.5,0.0,0,118.52,NAT Gateway,Dev VPC NAT
Internal-Tools,ec-0a9a592,2026-06,532.7,0.0,0,383.55,ElastiCache,Redis production cluster
Partner-Integration,elb-0b31940,2026-06,436.0,0.0,18165872,132.25,ELB,Application load balancer
Marketing-Platform,ddb-07e5376,2026-06,636.3,8.8,4418951,77.33,DynamoDB,Config store table
Customer-Portal,i-06d9393,2026-06,594.2,0.0,0,858.32,EC2,c5.xlarge compute worker
Security-Ops,r53-018f903,2026-06,0.0,0.0,68795882,103.19,Route 53,DNS hosting
Compliance-Audit,rs-0bf0566,2026-06,587.2,1630.9,0,2976.42,Redshift,Data warehouse cluster
Production-Main,s3-062a775,2026-06,0.0,10631.9,664489,265.79,S3,Log archive bucket
Production-Main,i-0724237,2026-06,419.8,0.0,0,1217.33,EC2,c5.2xlarge HPC node
Marketing-Platform,i-06c6949,2026-06,902.1,0.0,0,65.85,EC2,t3.micro bastion host
Finance-Systems,s3-0240452,2026-06,0.0,7317.0,73170,168.29,S3,Backup storage bucket
Internal-Tools,rds-02c4542,2026-06,413.4,114.8,0,488.04,RDS,db.t3.medium MySQL staging
Compliance-Audit,kin-0386537,2026-06,685.9,0.0,28577407,417.23,Kinesis,Data stream ingestion
Edge-Network,s3-097d920,2026-06,0.0,877.2,1754548,76.75,S3,Artifact storage
Compliance-Audit,i-0a57109,2026-06,646.7,0.0,0,560.47,EC2,m5.large monitoring server
Security-Ops,ebs-0186597,2026-06,0.0,681.7,0,426.05,EBS,io2 volumes database
Data-Science,i-0f5f350,2026-06,675.7,0.0,0,1171.11,EC2,r5.xlarge cache server
Compliance-Audit,s3-1109492,2026-06,0.0,903.1,1806415,79.03,S3,Artifact storage
Production-Main,ecs-001f111,2026-06,312.6,0.0,0,570.52,ECS,Fargate batch cluster
Production-Secondary,elb-106c801,2026-06,633.1,0.0,26377336,192.02,ELB,Application load balancer
Finance-Systems,elb-10f0785,2026-06,669.8,0.0,27910296,203.19,ELB,Application load balancer
Compliance-Audit,rds-0425609,2026-06,936.0,650.0,0,1852.51,RDS,db.r5.large PostgreSQL replica
ML-Training,ebs-0ad9186,2026-06,0.0,3823.9,0,172.08,EBS,st1 volumes archive
Security-Ops,s3-0180786,2026-06,0.0,12692.3,126922,291.92,S3,Backup storage bucket
Shared-Services,r53-0b2b508,2026-06,0.0,0.0,8624032,12.94,Route 53,Health checks
Internal-Tools,eks-03f1737,2026-06,492.6,0.0,0,1477.84,EKS,Staging K8s cluster
Marketing-Platform,r53-0c76143,2026-06,0.0,0.0,67121571,100.68,Route 53,DNS hosting
Edge-Network,s3-0c0b689,2026-06,0.0,66.5,33245744,216.09,S3,Static website hosting
Marketing-Platform,ec-08b3367,2026-06,662.4,0.0,0,476.9,ElastiCache,Redis production cluster
Internal-Tools,ec-02b5631,2026-06,761.4,0.0,0,274.1,ElastiCache,Redis staging cluster
Mobile-Backend,sqs-0caf152,2026-06,0.0,0.0,309494,0.16,SQS,Dead letter queue
Internal-Tools,ec-0a32433,2026-06,660.6,0.0,0,237.83,ElastiCache,Redis staging cluster
Shared-Services,s3-0fd6134,2026-06,0.0,14439.7,2887947,505.39,S3,Data lake raw zone
Production-Secondary,sqs-1120122,2026-06,0.0,0.0,27837950,13.92,SQS,Event notification queue
Customer-Portal,vpn-051d688,2026-06,1042.2,0.0,0,264.18,VPN Gateway,Client VPN endpoint
Compliance-Audit,s3-04b9679,2026-06,0.0,2665.3,15991868,666.33,S3,Production asset storage
Marketing-Platform,ec-0e10130,2026-06,856.6,0.0,0,616.76,ElastiCache,Redis production cluster
Internal-Tools,ebs-0742903,2026-06,0.0,1309.1,0,163.64,EBS,gp3 volumes production
Security-Ops,s3-058b286,2026-06,0.0,6591.9,10547077,481.21,S3,Media content bucket
Marketing-Platform,ddb-0f52812,2026-06,732.5,51.0,81391888,572.29,DynamoDB,Session store table
Customer-Portal,vpn-044d967,2026-06,952.7,0.0,0,241.49,VPN Gateway,Client VPN endpoint
ML-Training,i-036c430,2026-06,673.6,0.0,0,2335.24,EC2,r5.2xlarge database server
Internal-Tools,sqs-0758153,2026-06,0.0,0.0,52813548,26.4,SQS,Order processing queue
Customer-Portal,vpn-080b733,2026-06,835.3,0.0,0,211.72,VPN Gateway,Client VPN endpoint
Marketing-Platform,nat-01df371,2026-06,892.6,0.0,0,407.25,NAT Gateway,Production VPC NAT
Edge-Network,i-0607444,2026-06,529.8,0.0,0,1836.43,EC2,m5.2xlarge batch processor
Shared-Services,s3-0d6d893,2026-06,0.0,16273.0,3254612,569.56,S3,Data lake raw zone
Production-Main,i-068a660,2026-06,375.3,0.0,0,1088.28,EC2,c5.2xlarge HPC node
Shared-Services,ec-019b105,2026-06,730.1,0.0,0,262.83,ElastiCache,Redis staging cluster
Internal-Tools,s3-02bf969,2026-06,0.0,39.0,19513992,126.84,S3,Static website hosting
Customer-Portal,elb-0285346,2026-06,585.9,0.0,40685758,253.88,ELB,Network load balancer
ML-Training,lam-084f704,2026-06,0.0,0.0,9018753,63.13,Lambda,Notification dispatcher
Edge-Network,s3-0a66300,2026-06,0.0,11574.3,115741,266.21,S3,Backup storage bucket
Production-Secondary,r53-0a8a968,2026-06,0.0,0.0,9820236,14.73,Route 53,Health checks
ML-Training,lam-0373133,2026-06,0.0,0.0,11005030,77.04,Lambda,Notification dispatcher
Data-Science,ses-04ff620,2026-06,0.0,0.0,339941,0.4,SES,Marketing email
Data-Science,rs-0410704,2026-06,635.9,1766.3,0,3223.5,Redshift,Data warehouse cluster
Finance-Systems,eks-08fb841,2026-06,1100.7,0.0,0,3301.91,EKS,Production K8s cluster
Production-Secondary,i-10c1954,2026-06,1012.4,0.0,0,878.07,EC2,t3.large application server
Compliance-Audit,s3-05e1422,2026-06,0.0,14059.4,2811861,492.07,S3,Data lake raw zone
Customer-Portal,i-0913746,2026-06,615.5,0.0,0,44.92,EC2,t3.micro bastion host
Production-Secondary,elb-0082886,2026-06,812.1,0.0,11278917,164.22,ELB,Classic load balancer
Customer-Portal,ses-0dde104,2026-06,0.0,0.0,611720,0.74,SES,Marketing email
Production-Main,i-0c92467,2026-06,645.8,0.0,0,2238.63,EC2,m5.2xlarge batch processor
DevOps-Central,r53-00d2330,2026-06,0.0,0.0,7803434,11.71,Route 53,Health checks
Shared-Services,r53-0558765,2026-06,0.0,0.0,71417898,107.12,Route 53,DNS hosting
QA-Testing,elb-03e8828,2026-06,566.1,0.0,7862133,114.47,ELB,Classic load balancer
ML-Training,ebs-0ba3526,2026-06,0.0,4635.9,0,208.62,EBS,st1 volumes archive
Compliance-Audit,s3-06e9419,2026-06,0.0,3072.4,18434519,768.11,S3,Production asset storage
Production-Secondary,r53-0f0d232,2026-06,0.0,0.0,9895166,14.84,Route 53,Health checks
Production-Secondary,ec-0079721,2026-06,900.0,0.0,0,324.01,ElastiCache,Redis staging cluster
Edge-Network,sns-048c776,2026-06,0.0,0.0,11849921,5.93,SNS,Alert notifications
Production-Main,r53-0470454,2026-06,0.0,0.0,12316971,18.48,Route 53,Health checks
Edge-Network,vpn-0800570,2026-06,573.5,0.0,0,145.37,VPN Gateway,Client VPN endpoint
Compliance-Audit,kin-0bc3292,2026-06,657.2,0.0,27381504,399.77,Kinesis,Data stream ingestion
Marketing-Platform,ddb-0a45101,2026-06,479.7,33.4,53305495,374.8,DynamoDB,Session store table
Data-Science,i-0465430,2026-06,599.9,0.0,0,519.93,EC2,m5.large monitoring server
Finance-Systems,s3-0241654,2026-06,0.0,5951.3,9522155,434.45,S3,Media content bucket
Data-Science,ses-0692725,2026-06,0.0,0.0,2356248,2.83,SES,Transactional email
QA-Testing,lam-0888169,2026-06,0.0,0.0,4377317,30.86,Lambda,Image resizer
Finance-Systems,elb-1128805,2026-06,843.0,0.0,58544934,365.32,ELB,Network load balancer
Internal-Tools,ddb-02b0773,2026-06,891.6,61.9,99061426,696.53,DynamoDB,Session store table
ML-Training,rs-1144262,2026-06,0.0,0.0,4440904,222.05,Redshift,Spectrum queries
Compliance-Audit,rds-0ac6147,2026-06,528.7,367.2,0,1358.68,RDS,db.r5.xlarge PostgreSQL primary
Marketing-Platform,ec-01d6411,2026-06,765.1,0.0,0,550.89,ElastiCache,Redis production cluster
Compliance-Audit,rds-05e8100,2026-06,1070.7,297.5,0,966.62,RDS,db.t3.large development DB
QA-Testing,lam-093f853,2026-06,0.0,0.0,34848460,242.19,Lambda,API gateway handler
Finance-Systems,s3-0ad4697,2026-06,0.0,10109.9,631876,252.74,S3,Log archive bucket
Compliance-Audit,rs-0b4f885,2026-06,0.0,0.0,4876019,243.8,Redshift,Spectrum queries
Compliance-Audit,ses-0b60255,2026-06,0.0,0.0,1695368,2.04,SES,Transactional email
ML-Training,rds-0f5e458,2026-06,553.6,615.1,0,1291.75,RDS,db.m5.xlarge analytics DB
Marketing-Platform,sm-0bf6746,2026-06,0.0,0.0,1109469,4.45,Secrets Manager,Application secrets
Customer-Portal,elb-078d589,2026-06,733.2,0.0,30548762,222.4,ELB,Application load balancer
QA-Testing,lam-0ca7303,2026-06,0.0,0.0,4970231,35.03,Lambda,Image resizer
Edge-Network,vpn-08cb273,2026-06,564.5,0.0,0,143.08,VPN Gateway,Client VPN endpoint
ML-Training,i-088d971,2026-06,758.6,0.0,0,2629.81,EC2,r5.2xlarge database server
Customer-Portal,vpn-098e105,2026-06,1109.7,0.0,0,281.29,VPN Gateway,Client VPN endpoint
Compliance-Audit,elb-0e88274,2026-06,598.0,0.0,41531990,259.16,ELB,Network load balancer
Data-Science,i-10b4120,2026-06,462.0,0.0,0,1601.51,EC2,m5.2xlarge batch processor
Shared-Services,s3-019d844,2026-06,0.0,16262.4,3252488,569.19,S3,Data lake raw zone
Partner-Integration,ddb-1080701,2026-06,1130.4,157.0,235498189,1766.24,DynamoDB,Cache table
Compliance-Audit,vpn-0dcf521,2026-06,649.6,0.0,0,164.66,VPN Gateway,Client VPN endpoint
Partner-Integration,rds-0a86894,2026-06,1019.3,707.8,0,2017.34,RDS,db.r5.large PostgreSQL replica
QA-Testing,elb-06d7691,2026-06,830.0,0.0,34583987,251.77,ELB,Application load balancer
Production-Secondary,i-007e938,2026-06,672.9,0.0,0,2332.84,EC2,r5.2xlarge database server
ML-Training,ebs-0eb6707,2026-06,0.0,698.8,0,87.35,EBS,gp3 volumes production
Partner-Integration,rs-03c7685,2026-06,797.8,2216.2,0,4044.63,Redshift,Data warehouse cluster
Shared-Services,rds-0f49206,2026-06,615.1,427.1,0,1217.23,RDS,db.r5.large PostgreSQL replica
Production-Main,kin-001a241,2026-06,686.4,0.0,19067950,278.39,Kinesis,Firehose delivery
Production-Main,s3-0017758,2026-06,0.0,14654.1,2930826,512.89,S3,Data lake raw zone
Internal-Tools,ec-0706217,2026-06,547.4,0.0,0,394.09,ElastiCache,Redis production cluster
Compliance-Audit,vpn-0388274,2026-06,517.0,0.0,0,262.08,VPN Gateway,Site-to-site VPN
Compliance-Audit,rds-10d0202,2026-06,552.2,383.5,0,1418.96,RDS,db.r5.xlarge PostgreSQL primary
Internal-Tools,s3-07a6794,2026-06,0.0,4051.6,6482457,295.77,S3,Media content bucket
Data-Science,i-0cfd292,2026-06,859.8,0.0,0,745.71,EC2,t3.large application server
Edge-Network,s3-0719478,2026-06,0.0,50.3,25151174,163.47,S3,Static website hosting
Edge-Network,sns-04ef293,2026-06,0.0,0.0,11498178,5.75,SNS,Alert notifications
ML-Training,kin-1087550,2026-06,818.1,0.0,34087946,497.68,Kinesis,Data stream ingestion
Data-Science,ddb-0144483,2026-06,839.2,58.3,93246040,655.64,DynamoDB,Session store table
QA-Testing,lam-09f6339,2026-06,0.0,0.0,4829707,34.05,Lambda,Image resizer
Internal-Tools,elb-0947447,2026-06,1007.9,0.0,13999637,203.84,ELB,Classic load balancer
Customer-Portal,ses-06a2688,2026-06,0.0,0.0,581489,0.7,SES,Marketing email
Production-Secondary,s3-0077408,2026-06,0.0,5654.3,9046883,412.76,S3,Media content bucket
Internal-Tools,s3-02bc563,2026-06,0.0,3616.2,1808093,135.61,S3,Analytics export bucket
QA-Testing,lam-0bd8325,2026-06,0.0,0.0,35417715,246.15,Lambda,API gateway handler
Internal-Tools,s3-0827332,2026-06,0.0,42.4,21207422,137.85,S3,Static website hosting
Edge-Network,s3-031b847,2026-06,0.0,59.5,29726827,193.22,S3,Static website hosting
Mobile-Backend,ebs-04fd975,2026-06,0.0,4005.8,0,180.27,EBS,st1 volumes archive
QA-Testing,lam-03e0492,2026-06,0.0,0.0,15805031,110.64,Lambda,Event processor
Finance-Systems,elb-098a560,2026-06,752.9,0.0,31368766,228.37,ELB,Application load balancer
DevOps-Central,ec-00cb370,2026-06,819.3,0.0,0,589.87,ElastiCache,Redis production cluster
Security-Ops,lam-0179437,2026-06,0.0,0.0,28027636,196.19,Lambda,Data transformer
ML-Training,lam-117f789,2026-06,0.0,0.0,14200590,99.4,Lambda,Notification dispatcher
Edge-Network,vpn-0a60326,2026-06,536.4,0.0,0,271.96,VPN Gateway,Site-to-site VPN
Marketing-Platform,ec-0bd0408,2026-06,723.5,0.0,0,520.89,ElastiCache,Redis production cluster
Production-Main,lam-10c9218,2026-06,0.0,0.0,4613306,32.3,Lambda,Notification dispatcher
Internal-Tools,ec-0992806,2026-06,480.0,0.0,0,345.53,ElastiCache,Redis production cluster
Production-Main,i-0bac739,2026-06,368.6,0.0,0,1068.93,EC2,c5.2xlarge HPC node
Partner-Integration,elb-0700448,2026-06,488.7,0.0,20363576,148.25,ELB,Application load balancer
Shared-Services,s3-019c253,2026-06,0.0,2127.4,12764374,531.85,S3,Production asset storage
Finance-Systems,s3-0dbf295,2026-06,0.0,5056.9,8091131,369.16,S3,Media content bucket
Internal-Tools,ec-08ee362,2026-06,519.0,0.0,0,373.61,ElastiCache,Redis production cluster
ML-Training,lam-089f792,2026-06,0.0,0.0,47897796,332.9,Lambda,API gateway handler
Edge-Network,rds-0f71882,2026-06,521.0,361.8,0,1338.63,RDS,db.r5.xlarge PostgreSQL primary
